#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.009288,3,1,0,1940
0.002875,4,1,0,2526
0.154043,5,1,0,3088
0.253933,6,1,0,3721
0.238203,7,1,0,4330
0.420710,8,1,0,4839
0.321511,9,1,0,5351
0.636782,10,1,0,5830
0.709700,11,1,0,6214
0.939859,12,1,0,6581
1.286368,13,1,0,7073
0.985155,14,1,0,7489
1.154607,15,1,0,7985
1.114421,13,3,0,8330
1.086688,13,4,0,8103
2.504296,18,1,0,9565
1.821867,15,4,0,9369
1.480768,15,5,0,9438
2.610298,16,5,0,9935
1.464757,17,5,0,10519
2.005566,16,7,0,10434
2.056253,16,8,0,9878
1.868466,15,10,0,9265
2.309024,16,10,0,9657
2.730556,16,11,0,9738
3.347151,16,12,0,9880
2.401149,16,13,0,10152
4.012185,17,13,0,10910
2.638942,18,13,0,11546
3.298016,18,14,0,11859
5.323871,20,13,0,13055
2.720707,18,16,0,12882
6.841680,17,18,0,12585
3.330448,17,19,0,12569
4.212947,16,21,0,12435
3.773501,11,27,0,9794
3.305040,9,30,0,9005
1.408510,4,36,0,4098
1.475378,4,14,0,2896
0.446530,5,14,0,3252
0.345488,6,14,0,3518
0.306904,7,14,0,3828
0.375705,8,14,0,4278
0.408748,9,14,0,4936
0.394420,10,14,0,5568
0.446629,11,14,0,6278
0.840289,11,12,0,5922
0.963243,12,12,0,6580
3.108932,13,12,0,7115
0.917026,14,12,0,7579
1.653226,15,12,0,7854
1.393081,14,4,0,7404
1.528188,16,3,0,7974
1.572522,16,4,0,8217
1.149087,16,4,0,8492
1.112327,16,5,0,8971
1.036011,16,6,0,9121
1.269636,14,9,0,8730
1.067001,16,8,0,9422
1.466490,12,13,0,8240
1.499013,9,17,0,5903
1.244358,3,23,0,2631
1.585828,3,24,0,1805
0.653403,3,9,0,1661
0.574383,4,9,0,2088
0.297215,4,6,0,2513
0.336050,5,6,0,3108
0.341339,6,6,0,3632
0.369543,7,6,0,4091
0.446580,8,6,0,4777
0.395182,9,6,0,5360
0.559685,10,6,0,5916
0.743424,11,6,0,6676
1.426474,12,6,0,7394
0.710542,13,6,0,8230
0.925631,13,3,0,8616
0.964075,14,3,0,9088
1.309983,15,3,0,9796
1.752756,16,3,0,10287
2.437118,17,3,0,10742
