#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,157.968155,3.895072,0.000000,8.375498,2.646115,0.061758,164.380201
0.000000,0.000000,14.368774,4.852017,0.000000,2.549446,2.040093,0.056548,31.836820
0.000000,0.000000,15.743115,4.983003,0.000000,1.746784,2.094215,0.666418,26.941660
0.000000,0.000000,22.486565,6.267572,0.000000,1.913441,2.972295,1.088945,34.455505
0.000000,0.000000,16.600421,4.457352,0.000000,1.923169,2.453159,0.081505,28.960432
0.000000,0.000000,15.956335,4.345680,0.000000,1.660290,1.774607,0.320320,25.860342
0.000000,0.000000,13.801241,3.946623,0.000000,1.625193,1.842005,0.052770,22.591562
0.000000,0.000000,10.109032,3.327532,0.000000,1.026704,1.243476,0.233474,17.938270
0.000000,0.000000,9.408206,2.737788,0.000000,1.371450,1.929442,0.047771,15.520025
0.000000,0.000000,9.462197,2.852328,0.000000,0.989393,1.611056,0.047611,16.574461
0.000000,0.000000,9.710235,3.544740,0.000000,1.045680,1.430914,0.323426,16.734355
0.000000,0.000000,10.889081,3.613387,0.000000,1.544609,2.007811,0.045396,18.100195
0.000000,0.000000,9.830878,3.671397,0.000000,1.390947,1.881481,0.051989,17.967693
0.000000,0.000000,10.315220,4.045028,0.000000,1.140130,1.764819,0.378891,18.650482
0.000000,0.000000,9.890702,3.795874,0.000000,1.623098,1.885729,0.046388,17.863615
0.000000,0.000000,9.977508,4.054546,0.000000,1.230332,1.681650,0.048622,18.473605
0.000000,0.000000,9.681224,3.908872,0.000000,1.125823,1.658576,0.410361,17.354761
0.000000,0.000000,10.053869,3.777443,0.000000,1.906438,2.256254,0.057910,17.840361
0.000000,0.000000,9.561886,3.834667,0.000000,1.627507,2.457287,0.483490,18.608983
0.000000,0.000000,11.110239,4.203384,0.000000,2.055732,3.208005,0.069402,20.918819
0.000000,0.000000,13.537539,5.447198,0.000000,1.722628,2.652778,0.060115,25.648659
0.000000,0.000000,15.433991,4.608365,0.000000,1.131463,1.766842,0.384622,25.672430
0.000000,0.000000,13.418110,4.304312,0.000000,1.802711,3.313290,0.092156,22.002982
0.000000,0.000000,14.072240,4.346011,0.000000,1.171900,1.940423,0.048422,24.971085
0.000000,0.000000,10.985293,3.668284,0.000000,0.942113,1.671500,0.353072,18.791952
0.000000,0.000000,12.112029,3.750307,0.000000,1.446402,2.280570,0.046288,19.870484
0.000000,0.000000,13.482975,4.308974,0.000000,1.116845,2.164048,0.067478,22.600820
0.000000,0.000000,10.517411,4.033857,0.000000,1.219100,2.140994,0.933837,19.089454
0.000000,0.000000,14.371657,5.078697,0.000000,2.619926,3.124977,0.092486,25.100837
0.000000,0.000000,16.319764,5.524816,0.000000,1.650020,2.731388,0.070043,28.963447
0.000000,0.000000,11.938338,4.656652,0.000000,1.091848,2.880411,0.471858,22.361554
0.000000,0.000000,13.020415,5.485833,0.000000,2.049089,3.139364,0.061527,24.080816
0.000000,0.000000,13.572799,5.032417,0.000000,1.285537,2.035864,0.062308,25.050771
0.000000,0.000000,9.785663,4.105723,0.000000,1.150910,1.940894,0.402416,18.383024
0.000000,0.000000,13.598558,4.386358,0.000000,1.445551,2.508023,0.052440,22.561073
0.000000,0.000000,11.163073,4.314611,0.000000,1.271089,1.972514,0.347011,20.643725
0.000000,0.000000,10.526792,3.704059,0.000000,1.425202,2.700990,0.067167,18.780138
0.000000,0.000000,9.972878,3.941450,0.000000,1.211666,2.207672,0.050346,19.309496
0.000000,0.000000,9.871614,3.698601,0.000000,1.271770,2.261233,0.365325,18.054027
0.000000,0.000000,9.668967,4.061682,0.000000,1.734110,2.814887,0.057490,18.573415
0.000000,0.000000,13.553668,4.493511,0.000000,1.346642,2.367135,0.300692,23.872034
0.000000,0.000000,11.288422,4.386398,0.000000,1.454067,2.628211,0.050016,20.635911
0.000000,0.000000,11.895907,4.262803,0.000000,1.373785,2.194867,0.303327,21.452003
0.000000,0.000000,10.587826,3.747996,0.000000,1.560460,2.716760,0.048222,19.169761
0.000000,0.000000,12.466361,4.623657,0.000000,1.399935,2.477144,0.414178,22.479704
0.000000,0.000000,10.930368,4.531361,0.000000,2.060280,3.273049,0.053983,20.902874
0.000000,0.000000,12.168136,4.244738,0.000000,1.634751,2.703905,0.051889,22.960184
0.000000,0.000000,11.485839,3.934828,0.000000,1.265749,2.363507,0.407917,20.814120
0.000000,0.000000,10.554866,3.767159,0.000000,1.949019,3.254794,0.056939,19.538822
0.000000,0.000000,12.048906,4.731604,0.000000,1.218128,2.482955,0.045757,23.318015
0.000000,0.000000,10.775392,3.998513,0.000000,1.116786,2.231717,0.364213,19.511911
0.000000,0.000000,10.100963,4.082739,0.000000,2.078926,2.773528,0.051007,18.878225
0.000000,0.000000,11.551192,4.605554,0.000000,1.367843,2.562396,0.047681,22.170782
0.000000,0.000000,11.105312,4.073955,0.000000,1.176900,2.219133,0.392597,20.303969
0.000000,0.000000,11.331825,3.913227,0.000000,2.164128,3.563271,0.068541,20.007785
0.000000,0.000000,10.333906,4.001465,0.000000,1.415824,2.972942,0.059583,21.287100
0.000000,0.000000,10.012880,4.374124,0.000000,1.002818,2.658199,0.410030,20.033484
0.000000,0.000000,10.129023,4.342757,0.000000,1.861653,3.430007,0.063040,19.763630
