#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.476040,0.058509,0.686667,0.011580,0.011580,8.243280
0.689988,0.103550,6.336594,0.002388,0.002388,7.139694
8.116093,0.366239,5.372638,0.112384,0.112384,23.234357
8.219355,0.238855,7.209944,0.231291,0.231291,26.926707
9.180677,0.310812,10.131932,0.173835,0.173835,34.799109
7.776510,0.313330,11.489356,0.582010,0.582010,43.676777
9.874239,0.257675,15.856690,0.553684,0.553684,52.945998
7.828898,0.362831,17.132529,0.660684,0.660684,49.579179
6.925873,0.297452,14.279816,0.733336,0.733336,55.549704
7.741943,0.239778,16.699847,0.913334,0.913334,61.653843
9.733101,0.409532,23.587876,1.424930,1.424930,143.174371
8.178130,0.365360,20.784176,1.643838,1.643838,104.698437
7.397008,0.319223,17.614138,1.063335,1.063335,83.312163
7.927400,0.402554,18.884660,1.016635,1.016635,86.049106
6.807824,0.319364,16.804688,1.055153,1.055153,73.072414
7.985422,0.410780,19.141987,1.422781,1.422781,106.045463
7.058238,0.346714,17.640944,1.351866,1.351866,109.959180
5.805895,0.337490,17.093978,1.646714,1.646714,116.784574
6.487428,0.276212,17.552916,1.819321,1.819321,107.941414
7.192644,0.313677,19.040284,1.897041,1.897041,116.185276
7.211337,0.273846,18.737535,1.620709,1.620709,115.389973
6.527172,0.247604,20.242256,1.691450,1.691450,122.725157
8.253820,0.344305,21.826315,1.755972,1.755972,103.912412
6.709560,0.281150,19.321097,2.020723,2.020723,116.437056
10.630548,0.274834,22.479792,2.948243,2.948243,125.690461
7.346693,0.254169,20.594962,2.556315,2.556315,114.067036
8.320114,0.280011,21.518281,2.189935,2.189935,150.462461
8.906515,0.343491,21.336100,2.775320,2.775320,131.489147
8.273931,0.306763,19.942385,3.068561,3.068561,121.209462
7.764474,0.236522,19.392446,2.404881,2.404881,106.352108
7.255353,0.226418,19.473193,2.061835,2.061835,118.736001
7.279642,0.255603,19.218100,2.424102,2.424102,119.506312
7.200588,0.213568,18.677430,2.342692,2.342692,110.908394
7.413407,0.203757,18.948693,1.957049,1.957049,127.946383
8.921167,0.240701,22.770407,1.596333,1.596333,102.659384
7.326441,0.228067,19.834309,1.925661,1.925661,101.310154
7.389107,0.230673,19.756904,3.080076,3.080076,115.675394
7.457144,0.209140,18.593209,4.593023,4.593023,110.047892
7.476724,0.196138,20.566701,7.293805,7.293805,127.204082
9.499998,0.332486,24.074694,1.678513,1.678513,122.338612
8.634473,0.268485,22.326058,4.413774,4.413774,112.440479
7.635548,0.256275,21.620192,6.617178,6.617178,219.185998
7.435818,0.284851,20.877741,1.607328,1.607328,238.354619
6.895419,0.297788,19.326057,2.129906,2.129906,245.646449
8.315563,0.385460,23.353394,4.931685,4.931685,98.888592
8.351607,0.371437,21.496487,1.882443,1.882443,258.492208
8.335489,0.433431,31.368678,6.251026,6.251026,208.856134
7.961328,0.465686,22.903608,3.928910,3.928910,120.205342
6.773571,0.391332,23.315006,2.848557,2.848557,91.270679
7.067691,0.331888,20.043297,5.644520,5.644520,199.772119
7.431803,0.323695,20.347857,4.240656,4.240656,186.591401
8.767465,0.743049,23.308473,5.623747,5.623747,273.596885
6.727250,0.385341,19.644857,2.829488,2.829488,213.915882
6.612348,0.396281,19.552105,3.966451,3.966451,139.051397
7.004385,0.379957,23.103892,3.719760,3.719760,107.196026
7.185996,0.368670,20.668821,6.081825,6.081825,121.675246
7.024141,0.357340,23.705487,2.727002,2.727002,80.563210
7.163481,0.301000,20.984437,2.199051,2.199051,115.855231
6.796005,0.283646,21.344186,2.260360,2.260360,117.442750
6.855328,0.270927,19.723813,1.721492,1.721492,105.909594
6.984800,0.283343,19.609312,5.645746,5.645746,123.132784
6.923247,0.390214,20.673094,2.378833,2.378833,96.355970
7.058770,0.297701,19.393162,2.645832,2.645832,111.562198
6.990884,0.317237,19.051994,3.900236,3.900236,109.694754
6.946125,0.315620,19.784819,2.375859,2.375859,105.846211
7.723975,0.328926,19.073677,1.613112,1.613112,117.467448
6.727749,0.307209,19.418666,2.414084,2.414084,107.920755
7.153073,0.312831,19.084975,5.154099,5.154099,114.262784
7.037032,0.339247,19.796854,3.986465,3.986465,107.000019
7.215077,0.336045,19.878340,3.857779,3.857779,116.521277
6.529315,0.346541,19.142519,1.616249,1.616249,110.780430
6.297606,0.339226,19.306282,1.556209,1.556209,112.889460
6.690089,0.337424,18.509565,4.640919,4.640919,136.074991
6.568719,0.375127,17.192080,8.149249,8.149249,107.652117
7.521536,0.513191,19.155315,4.572599,4.572599,123.078067
7.511422,0.634800,23.190705,5.073753,5.073753,147.995129
6.622257,0.625444,20.321658,4.896815,4.896815,92.600069
6.401205,0.424715,18.894449,3.251990,3.251990,77.455914
6.150320,0.387674,19.563381,3.844907,3.844907,74.029726
6.477703,0.314687,17.930246,4.320633,4.320633,85.339322
7.188042,0.409684,19.361849,6.378893,6.378893,74.009980
7.275833,0.421883,19.749632,6.091158,6.091158,72.476688
7.079314,0.343708,21.606746,4.374823,4.374823,69.570967
6.678074,0.279142,18.092327,5.387887,5.387887,86.906134
9.112692,0.599213,21.539163,4.974653,4.974653,121.027368
6.335572,0.447931,17.119158,6.148224,6.148224,81.976740
6.860950,0.451241,18.142642,6.950131,6.950131,119.401559
7.383529,0.475475,20.961668,5.361286,5.361286,97.795226
6.667373,0.419951,19.688465,5.366668,5.366668,107.929057
6.702553,0.451035,19.139686,5.844630,5.844630,109.682657
