#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,11594.197900,0.000000,0.000000,9.795672,3.083294,0.644871,11596.996286
0.000000,0.000000,21.148444,0.000000,0.000000,3.011426,2.612615,0.555320,35.994874
0.000000,0.000000,22.309320,0.000000,0.000000,2.824890,2.705232,0.527466,29.578600
0.000000,0.000000,20.621068,0.000000,0.000000,2.790063,3.104274,0.087036,27.665099
0.000000,0.000000,22.930114,0.000000,0.000000,1.760329,2.893971,0.703542,30.124682
0.000000,0.000000,21.291388,0.000000,0.000000,2.719348,3.300839,0.086235,27.865982
0.000000,0.000000,21.585521,0.000000,0.000000,1.514961,2.954077,0.623820,28.846015
0.000000,0.000000,21.760029,0.000000,0.000000,2.964167,3.212902,0.094741,28.012432
0.000000,0.000000,21.319238,0.000000,0.000000,1.947337,3.438572,0.705226,28.966974
0.000000,0.000000,22.180041,0.000000,0.000000,5.282581,5.693586,0.179673,29.521722
0.000000,0.000000,22.162910,0.000000,0.000000,1.624731,3.908099,0.832659,35.567382
0.000000,0.000000,22.447878,0.000000,0.000000,3.339798,3.992487,0.093739,30.199122
0.000000,0.000000,20.696821,0.000000,0.000000,1.669548,3.737268,0.781236,29.779927
0.000000,0.000000,21.457869,0.000000,0.000000,2.774505,3.336460,0.059464,29.483141
0.000000,0.000000,25.890470,0.000000,0.000000,1.428256,3.198917,0.636119,33.454948
0.000000,0.000000,20.054802,0.000000,0.000000,2.592597,3.315672,0.077258,26.707223
0.000000,0.000000,20.572410,0.000000,0.000000,1.884761,4.122848,0.876790,27.977186
0.000000,0.000000,21.243396,0.000000,0.000000,2.936115,3.679729,0.099621,29.756314
0.000000,0.000000,21.451174,0.000000,0.000000,1.655191,3.456632,0.686695,29.658486
0.000000,0.000000,20.854561,0.000000,0.000000,2.838157,3.667126,0.091355,28.243967
0.000000,0.000000,21.474027,0.000000,0.000000,1.679788,3.160124,0.657700,29.749350
0.000000,0.000000,21.019577,0.000000,0.000000,2.853837,4.405319,0.195715,27.946286
0.000000,0.000000,21.859916,0.000000,0.000000,2.025821,3.520495,0.678560,31.413608
0.000000,0.000000,25.451868,0.000000,0.000000,3.159162,4.118330,0.136668,33.336092
0.000000,0.000000,21.363046,0.000000,0.000000,1.804979,4.026344,0.792719,30.784852
0.000000,0.000000,21.577109,0.000000,0.000000,2.663874,3.661426,0.063622,29.818501
0.000000,0.000000,23.024286,0.000000,0.000000,1.466691,3.153602,0.741591,31.112353
0.000000,0.000000,26.425092,0.000000,0.000000,2.782350,3.939806,0.072525,33.138172
0.000000,0.000000,22.633414,0.000000,0.000000,1.477190,3.589955,0.830837,31.137377
0.000000,0.000000,21.711686,0.000000,0.000000,2.931990,3.903940,0.138778,28.984579
0.000000,0.000000,21.482709,0.000000,0.000000,1.251700,3.397105,0.657714,30.393572
0.000000,0.000000,20.626385,0.000000,0.000000,2.650175,4.655418,0.167212,27.391251
0.000000,0.000000,22.487030,0.000000,0.000000,1.401479,3.832185,0.746399,32.007447
0.000000,0.000000,22.041191,0.000000,0.000000,3.221480,4.974825,0.158064,29.633437
0.000000,0.000000,27.483039,0.000000,0.000000,1.549124,3.589134,0.057027,37.957936
0.000000,0.000000,21.159465,0.000000,0.000000,1.212638,3.476645,0.643708,27.824447
0.000000,0.000000,21.661153,0.000000,0.000000,2.996951,4.550875,0.072185,28.430219
0.000000,0.000000,22.322621,0.000000,0.000000,1.563392,3.647012,0.078106,31.580894
0.000000,0.000000,21.533691,0.000000,0.000000,1.216045,3.275870,0.652035,28.245813
0.000000,0.000000,22.157513,0.000000,0.000000,2.926460,3.932894,0.070261,28.661165
0.000000,0.000000,24.156816,0.000000,0.000000,1.635415,3.768598,0.069710,32.546371
0.000000,0.000000,22.039143,0.000000,0.000000,1.278701,3.465054,0.645503,28.990549
0.000000,0.000000,20.939656,0.000000,0.000000,3.291279,8.064790,0.244094,27.759397
0.000000,0.000000,23.003991,0.000000,0.000000,1.727157,4.152334,0.102822,37.089763
0.000000,0.000000,22.129589,0.000000,0.000000,1.467603,4.245158,0.671360,29.599182
0.000000,0.000000,21.955637,0.000000,0.000000,3.540715,6.053776,0.158475,29.867072
0.000000,0.000000,24.063431,0.000000,0.000000,2.231477,4.349552,0.082103,35.974658
0.000000,0.000000,23.476799,0.000000,0.000000,1.697281,4.190896,0.644992,31.703663
0.000000,0.000000,21.464901,0.000000,0.000000,3.472719,6.080285,0.172001,29.487665
0.000000,0.000000,22.715592,0.000000,0.000000,2.008796,4.422217,0.070561,34.873107
0.000000,0.000000,21.085631,0.000000,0.000000,1.621483,3.787096,0.670593,29.111934
0.000000,0.000000,21.379889,0.000000,0.000000,3.333589,5.695789,0.138635,28.975111
0.000000,0.000000,22.471417,0.000000,0.000000,1.876843,4.032697,0.056388,33.847715
0.000000,0.000000,20.816359,0.000000,0.000000,1.669184,4.112690,0.600630,28.344886
0.000000,0.000000,20.895089,0.000000,0.000000,2.930498,5.565942,0.115240,28.780008
0.000000,0.000000,21.564159,0.000000,0.000000,2.062086,4.241578,0.115872,32.112827
0.000000,0.000000,21.315062,0.000000,0.000000,1.639858,4.930620,0.680522,29.390216
0.000000,0.000000,23.043559,0.000000,0.000000,3.903561,5.925581,0.264366,32.264439
0.000000,0.000000,23.490807,0.000000,0.000000,1.905266,6.268627,0.128196,36.961157
0.000000,0.000000,21.725848,0.000000,0.000000,3.520538,7.856182,0.811102,32.188771
0.000000,0.000000,24.077341,0.000000,0.000000,3.193071,5.786324,0.147232,38.682558
0.000000,0.000000,24.819156,0.000000,0.000000,2.069054,4.444126,0.060496,36.165550
0.000000,0.000000,21.879135,0.000000,0.000000,1.939593,5.445584,0.672898,30.021734
0.000000,0.000000,22.990639,0.000000,0.000000,3.172753,6.793319,0.233417,32.871693
0.000000,0.000000,23.041624,0.000000,0.000000,1.934834,5.526478,0.070946,35.945821
0.000000,0.000000,20.888291,0.000000,0.000000,2.817724,5.290845,0.607122,30.080647
0.000000,0.000000,21.161294,0.000000,0.000000,4.484474,6.667202,0.165477,31.942570
0.000000,0.000000,22.604065,0.000000,0.000000,2.224057,5.274606,0.109590,36.493631
0.000000,0.000000,21.315660,0.000000,0.000000,2.556613,7.287400,0.680693,31.345378
0.000000,0.000000,20.929791,0.000000,0.000000,3.048595,6.641096,0.152572,33.191982
0.000000,0.000000,21.237998,0.000000,0.000000,2.210772,5.387313,0.074904,33.442111
0.000000,0.000000,20.154634,0.000000,0.000000,2.370378,5.390159,0.071547,29.429700
0.000000,0.000000,21.274809,0.000000,0.000000,2.042079,5.685414,0.110331,30.858556
0.000000,0.000000,20.367081,0.000000,0.000000,1.831015,4.714375,0.533461,29.802624
0.000000,0.000000,20.551253,0.000000,0.000000,3.629107,5.567849,0.093469,29.187897
0.000000,0.000000,22.490787,0.000000,0.000000,2.348236,6.181013,0.103969,33.819674
0.000000,0.000000,20.959425,0.000000,0.000000,2.219158,5.521611,0.081155,31.231630
0.000000,0.000000,20.400886,0.000000,0.000000,2.236422,4.193428,0.062660,29.826139
0.000000,0.000000,20.913878,0.000000,0.000000,2.005509,5.253277,0.641728,29.135678
0.000000,0.000000,21.350244,0.000000,0.000000,4.902347,7.016264,0.134788,30.818790
0.000000,0.000000,23.373705,0.000000,0.000000,2.898690,7.308223,0.104019,37.599263
0.000000,0.000000,20.606126,0.000000,0.000000,2.236182,4.647412,0.121563,32.554724
0.000000,0.000000,20.510539,0.000000,0.000000,2.216995,5.300039,0.091936,29.394373
0.000000,0.000000,22.479642,0.000000,0.000000,2.104028,6.148422,0.150919,31.983450
0.000000,0.000000,20.550584,0.000000,0.000000,2.051097,5.959345,0.754225,31.652324
0.000000,0.000000,20.970753,0.000000,0.000000,3.382165,5.030342,0.124539,32.314925
0.000000,0.000000,20.431695,0.000000,0.000000,3.356426,5.090026,0.066247,30.906793
0.000000,0.000000,21.561886,0.000000,0.000000,2.264386,4.756337,0.110632,31.479063
0.000000,0.000000,20.695856,0.000000,0.000000,2.107530,3.917602,0.140559,29.385896
0.000000,0.000000,20.804397,0.000000,0.000000,1.986865,3.808834,0.629686,28.797840
