#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.010582,3,1,0,3934
0.001439,4,1,0,5014
0.515687,5,1,0,6089
0.549070,6,1,0,6943
0.818697,7,1,0,7802
1.725035,8,1,0,8582
1.013618,9,1,0,9497
1.224507,10,1,0,10377
1.251556,11,1,0,11181
1.688787,12,1,0,11909
2.363810,13,1,0,12740
2.969813,14,1,0,13508
2.972183,15,1,0,14245
3.714516,16,1,0,14942
5.575844,17,1,0,15709
3.659168,18,1,0,16413
3.190602,19,1,0,17060
3.499955,20,1,0,17885
3.726699,21,1,0,18549
4.230634,22,1,0,19300
5.651148,22,1,0,19910
8.859027,21,3,0,20414
8.432453,21,4,0,19921
6.321116,18,8,0,17723
5.657331,19,8,0,19291
7.122552,17,11,0,16437
3.598592,17,12,0,15534
4.777424,18,12,0,16024
4.578121,19,12,0,16749
5.390324,18,14,0,17128
4.686244,19,14,0,17869
4.574901,18,16,0,15979
4.915343,17,18,0,15236
4.527606,20,16,0,17309
4.589493,20,17,0,17162
5.054567,21,17,0,17617
5.270366,18,21,0,16742
6.639222,18,22,0,15261
2.817523,19,22,0,15783
4.566726,18,24,0,14844
5.138405,20,23,0,16157
4.789144,16,28,0,13219
3.166330,18,27,0,14468
4.498660,18,28,0,14659
3.668695,16,27,0,14736
4.190106,15,28,0,12927
5.927495,15,28,0,13199
3.740094,14,30,0,12522
5.124137,11,33,0,10475
3.732075,12,33,0,11302
2.048817,12,32,0,11373
2.833656,10,35,0,10354
2.498672,8,33,0,8893
2.209133,6,25,0,7301
1.523464,5,24,0,6162
1.091157,5,25,0,5625
0.514411,6,25,0,6215
0.760628,7,25,0,6758
1.035555,8,25,0,7488
1.093468,8,10,0,7170
1.715022,9,10,0,7820
0.916350,10,10,0,8488
1.038112,11,10,0,9111
1.097890,12,10,0,9745
1.573792,13,10,0,10413
1.550917,14,10,0,11062
2.036338,15,10,0,11637
1.874163,14,6,0,11159
2.085996,13,6,0,11065
1.542372,12,7,0,10391
1.471632,13,7,0,10799
1.692322,11,10,0,9756
1.757761,11,10,0,9809
1.211313,12,10,0,10451
1.948930,13,10,0,11005
2.316579,14,10,0,11447
3.028907,15,10,0,11927
2.326877,14,12,0,11113
2.443543,15,12,0,11601
2.888825,16,12,0,12103
2.351014,17,12,0,12575
3.242313,17,13,0,12480
2.545365,14,17,0,10461
7.169779,15,17,0,10974
2.146751,15,18,0,11105
1.874827,13,20,0,10170
1.921740,14,20,0,10678
2.141038,15,20,0,11218
2.534227,14,22,0,10745
2.606139,15,22,0,11226
2.370366,16,22,0,11639
2.627221,14,25,0,10768
2.775569,18,22,0,12497
1.852055,16,25,0,11636
4.403827,17,25,0,12176
1.833147,17,26,0,12416
3.115365,19,25,0,13507
4.176418,17,27,0,12647
5.459255,18,27,0,13280
2.116695,21,26,0,15231
2.372127,18,29,0,13356
2.934585,18,30,0,13321
3.493244,19,30,0,13812
9.876610,21,29,0,14896
5.643388,21,30,0,14846
6.267192,22,30,0,15462
3.052348,21,32,0,14821
3.171467,23,31,0,16563
4.288636,20,35,0,14902
3.184456,21,35,0,15614
5.053972,22,35,0,16325
4.870318,22,36,0,16884
3.348338,23,36,0,17572
3.613504,23,37,0,18135
3.775519,24,37,0,18433
5.885401,23,37,0,18224
5.286966,24,37,0,18907
5.452812,25,37,0,19664
5.563128,23,40,0,19051
5.671668,18,31,0,16091
3.983366,16,34,0,14953
5.878185,17,34,0,15598
10.510388,19,33,0,16832
2.914329,17,35,0,15752
5.710281,17,34,0,15611
5.123997,15,37,0,13897
6.788056,16,37,0,14314
5.457446,17,37,0,14861
5.882274,15,33,0,13094
3.809140,16,33,0,13500
7.227395,17,33,0,13949
5.794236,18,33,0,14396
8.116838,15,30,0,12201
4.134901,12,34,0,9862
2.837476,13,34,0,10291
3.666710,12,34,0,9198
2.069200,11,36,0,8652
1.538054,11,37,0,8603
1.542179,10,22,0,8812
1.923987,10,23,0,8264
1.978080,10,24,0,8065
1.334750,12,23,0,9165
1.588756,12,24,0,8902
1.995797,13,24,0,8889
1.872144,14,24,0,8929
1.644959,15,24,0,9282
1.538313,16,24,0,9817
4.012197,17,24,0,10291
2.212389,12,26,0,8141
2.127120,13,26,0,8781
1.509403,14,26,0,9422
2.041514,14,27,0,9483
2.242594,15,27,0,10247
2.068804,13,30,0,9873
2.133520,10,34,0,9255
1.967238,9,29,0,9307
1.846449,9,30,0,9787
8.099155,10,30,0,10386
2.094821,10,31,0,10365
2.311420,8,34,0,8751
2.933009,8,35,0,8721
3.920597,9,35,0,9470
1.687653,9,18,0,9255
2.850612,10,18,0,9889
1.610310,10,19,0,9834
2.357307,11,19,0,10485
2.054932,11,20,0,10337
2.355886,12,20,0,11035
2.235828,11,22,0,10331
2.591633,12,22,0,10668
2.013974,13,22,0,11117
2.797935,14,22,0,11722
