#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.510859,0.055449,0.592299,0.006949,0.006949,6.172094
0.880397,0.096751,1.696320,0.000862,0.000862,2.675734
6.405914,0.417021,3.483509,0.441257,0.441257,23.476825
6.315630,0.444957,4.249867,0.690914,0.690914,27.145094
6.521177,0.551707,4.923303,0.684877,0.684877,32.521186
6.659401,0.550212,5.755971,0.951280,0.951280,35.212504
10.511665,0.841392,7.824653,0.983979,0.983979,48.048985
14.829725,0.626657,10.314934,1.395412,1.395412,60.065934
16.957421,0.535759,9.995674,0.950289,0.950289,55.514141
14.948738,0.513760,10.287780,1.265454,1.265454,58.803591
13.673043,0.564538,10.641513,0.926233,0.926233,56.543837
12.382537,0.592444,9.974205,1.196921,1.196921,58.548378
11.338741,0.661550,11.536091,1.311278,1.311278,63.949199
11.265852,0.637945,13.479259,1.312131,1.312131,62.013463
10.703332,0.633895,12.123749,1.294703,1.294703,67.332970
10.788654,0.730479,14.435948,1.565404,1.565404,71.796123
9.663476,0.735623,11.284834,1.467293,1.467293,69.304298
9.911914,0.692523,10.802041,1.507754,1.507754,63.048366
9.299631,0.723960,11.232915,1.801883,1.801883,69.520717
9.489483,0.812824,12.122029,1.714613,1.714613,60.327708
9.602369,0.888583,10.956314,1.189323,1.189323,55.351755
8.432115,0.730487,11.459491,1.099475,1.099475,51.631029
8.782342,0.810106,11.082081,1.475422,1.475422,45.511989
8.253643,0.694618,10.630384,0.965736,0.965736,42.951944
8.742744,0.916540,11.705351,1.250576,1.250576,50.943396
8.245105,0.731027,13.788460,1.434295,1.434295,55.326030
7.218429,0.807478,12.345671,1.613422,1.613422,52.212841
7.487134,0.779390,9.440709,1.081969,1.081969,40.792594
7.331291,0.857176,10.197156,0.967973,0.967973,41.475115
7.773606,0.782609,10.319512,1.229352,1.229352,43.964757
7.680467,0.752936,10.714491,1.117881,1.117881,43.309965
7.831287,0.785496,11.382591,1.332760,1.332760,46.063931
7.516231,0.719412,10.150131,1.228709,1.228709,45.021620
7.791977,0.831184,11.395768,1.324466,1.324466,50.026268
6.964245,0.697004,12.615401,1.470830,1.470830,50.638632
6.865808,0.906946,11.633535,0.641708,0.641708,45.660624
7.410970,1.092829,11.164854,1.266005,1.266005,48.351935
7.075408,0.807046,11.009138,2.150644,2.150644,44.447311
7.127338,0.778076,12.606230,1.453150,1.453150,48.139054
7.103090,0.671994,10.379810,0.974524,0.974524,41.693632
6.966890,0.798044,13.194195,1.245484,1.245484,50.338983
7.223293,0.728889,13.896834,1.722694,1.722694,61.885919
7.605943,0.592029,13.541145,1.330574,1.330574,57.669396
8.921398,0.760910,13.601914,2.448107,2.448107,64.292007
8.878943,0.540840,14.994649,1.729088,1.729088,72.488467
7.187251,0.471485,15.234722,1.588987,1.588987,67.555734
7.183657,0.673421,15.471581,1.449517,1.449517,73.065861
7.322006,0.558120,12.938714,2.598477,2.598477,81.120170
7.511798,0.673921,15.582276,2.498326,2.498326,104.399800
7.083255,0.673668,13.310589,3.687144,3.687144,75.567465
7.294301,0.731660,13.652028,4.928651,4.928651,83.479131
7.091580,0.704076,14.043811,4.521570,4.521570,95.137938
6.916776,0.645344,13.514409,6.705647,6.705647,94.647416
7.666659,0.659321,13.678511,3.148826,3.148826,96.647560
7.058405,0.591744,13.193745,5.209617,5.209617,85.016315
6.752185,0.530208,13.267536,1.869509,1.869509,70.734575
7.286848,0.580340,13.034287,2.267933,2.267933,65.691720
7.305111,0.598532,12.644684,1.810135,1.810135,68.612823
7.018884,0.725650,15.834840,2.680753,2.680753,101.155085
6.965011,0.879560,13.593571,1.715195,1.715195,64.581292
7.640586,0.866284,13.835304,1.204857,1.204857,52.699422
6.769136,2.478486,13.411538,1.365377,1.365377,56.037076
6.246967,0.691192,12.523831,1.379179,1.379179,53.657970
6.422389,0.808319,11.183182,1.183753,1.183753,44.566596
6.235221,0.782147,12.429974,1.401207,1.401207,48.597768
6.814823,0.800459,11.960962,1.419690,1.419690,49.276144
7.159618,0.790487,13.548764,1.300539,1.300539,49.796290
6.857476,0.623803,13.998782,1.395614,1.395614,50.297098
6.312434,0.859142,15.907909,1.425342,1.425342,54.800492
6.633292,0.772251,12.206184,1.751907,1.751907,58.079039
6.793986,0.811461,12.552654,2.904141,2.904141,56.697934
6.123002,0.917897,12.848711,1.446313,1.446313,52.007316
6.704277,0.745215,11.340016,1.037929,1.037929,47.614890
6.614343,0.755067,11.746776,1.562852,1.562852,51.359627
7.605616,0.709959,12.322948,1.106367,1.106367,49.642515
6.991656,0.809055,12.361311,1.196997,1.196997,51.798317
6.928593,0.851749,14.904401,1.286030,1.286030,58.090885
7.629116,0.928741,13.109039,1.529256,1.529256,66.300685
6.537807,0.924541,13.278539,1.965616,1.965616,61.281299
6.532141,0.778274,12.884442,1.926386,1.926386,61.587220
6.997883,0.808570,13.524609,2.367262,2.367262,63.476806
6.630399,0.747914,12.826273,1.293327,1.293327,52.232265
7.713698,0.758827,12.805815,1.411782,1.411782,54.251007
7.468293,0.721430,13.612600,1.789582,1.789582,57.183022
6.552940,0.578464,18.376279,1.866553,1.866553,70.849543
6.528699,0.600899,17.073291,1.984294,1.984294,64.135978
6.829595,0.699428,12.953143,1.443024,1.443024,68.043219
6.504829,0.621286,12.245424,1.876513,1.876513,72.076032
6.717538,0.711644,12.773357,2.601344,2.601344,84.923517
6.795710,0.774917,13.198306,5.264329,5.264329,75.427015
7.908305,0.797163,14.221031,1.428659,1.428659,76.243943
8.170050,0.849123,13.759720,1.446902,1.446902,62.800850
7.328768,0.681251,12.026238,1.392992,1.392992,66.135829
6.544411,0.751531,12.134553,1.766851,1.766851,68.582993
6.749724,0.823506,11.806947,3.579013,3.579013,65.441861
7.172996,0.887932,12.369736,2.089592,2.089592,61.947859
7.413756,0.774298,13.456587,1.901919,1.901919,60.094669
7.968192,1.258897,20.974459,1.338524,1.338524,67.412676
7.049217,0.850440,11.713777,1.642451,1.642451,57.104278
6.141215,0.863885,10.904851,1.578209,1.578209,46.215656
6.223349,0.840514,9.996946,1.765291,1.765291,49.203480
6.726605,0.900464,10.084164,0.945766,0.945766,40.673589
6.385664,1.063314,11.488839,0.905822,0.905822,43.902234
7.653846,0.851386,12.625693,1.221729,1.221729,46.981793
6.454615,0.866456,12.502695,1.381917,1.381917,51.768218
6.431121,0.941329,12.797165,2.766867,2.766867,55.653423
6.319644,0.896599,12.832551,1.965262,1.965262,56.093481
6.550566,0.902388,12.674789,1.562175,1.562175,52.597706
7.706154,0.744295,12.892125,2.322069,2.322069,65.031119
7.372270,0.755717,15.116357,2.017956,2.017956,59.018031
6.351698,0.859377,11.961471,1.228292,1.228292,62.329043
6.159820,0.808723,11.922355,3.093361,3.093361,53.902247
6.435176,0.881386,12.432946,5.152861,5.152861,60.294442
6.494709,0.757822,11.715125,1.802186,1.802186,52.859748
7.363933,0.833083,12.232051,1.577797,1.577797,55.244639
7.296915,1.073086,14.362900,3.965716,3.965716,81.524205
7.676966,0.805310,13.454918,1.906816,1.906816,68.742471
6.319952,0.785440,14.976746,1.792727,1.792727,72.170603
6.976812,0.867255,13.435671,2.510407,2.510407,73.368806
5.807717,0.688427,13.292969,3.823736,3.823736,67.666493
6.416716,0.716979,13.052724,2.310752,2.310752,67.458165
7.094945,0.611629,13.996512,2.540443,2.540443,71.662140
6.764253,0.632790,14.972652,3.716379,3.716379,78.699388
7.850077,0.790103,15.120301,2.641282,2.641282,89.829315
7.191669,0.807019,16.134687,5.325509,5.325509,105.952888
8.752417,0.625629,16.164181,6.795680,6.795680,109.586913
8.890195,0.764114,16.339743,2.540142,2.540142,101.654068
6.943022,0.778284,17.179629,2.363699,2.363699,87.559806
7.440118,0.701998,15.148947,1.874528,1.874528,107.376448
6.490821,0.783109,16.622947,4.583462,4.583462,125.169742
7.731853,0.695158,15.778176,5.763101,5.763101,114.366750
7.971995,0.607381,17.335009,6.319775,6.319775,127.038931
7.239775,0.557787,14.003368,3.867425,3.867425,129.435047
6.508238,0.596300,13.180035,4.148449,4.148449,120.381580
6.938338,0.667236,13.741362,3.177314,3.177314,112.361551
6.255987,0.792081,10.978458,4.641469,4.641469,89.962761
8.538378,1.029631,9.062402,1.020351,1.020351,46.327240
6.342938,1.009712,5.226205,0.581266,0.581266,28.611839
6.060151,1.003679,3.877577,0.536976,0.536976,28.703165
5.744385,0.933053,4.731615,0.505075,0.505075,28.041410
6.377004,0.953022,6.133026,0.594636,0.594636,31.683528
6.221368,0.837146,5.139420,0.821782,0.821782,33.333316
5.940900,0.801054,6.369673,1.035757,1.035757,33.542216
7.837951,0.726023,7.895377,0.800433,0.800433,37.250610
6.550568,0.764360,7.765856,1.109095,1.109095,38.750212
5.854813,0.606977,7.997270,0.643150,0.643150,34.690166
5.758193,0.611417,9.106874,0.818104,0.818104,37.921015
7.060015,0.765177,9.058967,0.780598,0.780598,39.256826
10.418712,0.645465,10.542369,1.226881,1.226881,48.310451
5.906733,0.630745,10.337351,2.033201,2.033201,45.772941
6.479877,0.662915,10.155587,0.998937,0.998937,44.283824
6.641666,0.715021,11.060633,0.930218,0.930218,45.660237
8.132793,0.762487,12.167720,1.387295,1.387295,48.578752
6.980612,0.706654,12.060752,1.191438,1.191438,49.378340
6.218338,0.777327,11.909565,1.247421,1.247421,59.907706
6.251688,0.744526,12.204680,1.714701,1.714701,56.894350
6.416785,0.880593,12.701952,1.326220,1.326220,54.012322
6.679039,0.672058,13.199325,1.398568,1.398568,56.652037
9.822288,0.639262,13.681096,1.002792,1.002792,52.988878
6.574696,0.685796,12.461142,1.374117,1.374117,53.516050
6.070993,0.739901,12.676017,1.280857,1.280857,51.288670
6.586576,0.813372,13.346095,1.622113,1.622113,53.551383
9.022062,0.939259,13.994681,1.203439,1.203439,62.192647
6.443404,0.808340,13.234498,2.263905,2.263905,61.041224
6.774204,0.634376,13.034882,6.202463,6.202463,59.716300
6.606340,0.733183,12.951047,1.158034,1.158034,58.512594
9.563173,0.688351,13.818835,1.352302,1.352302,63.069667
6.338883,0.766080,12.385056,1.590510,1.590510,62.499427
6.363443,0.741239,12.810578,1.347923,1.347923,55.911282
6.535488,0.742532,11.587232,1.276030,1.276030,51.538508
6.297986,0.749073,13.402932,1.022765,1.022765,53.256262
5.869896,0.901714,13.086672,3.410526,3.410526,60.289006
7.069684,1.273455,13.309552,1.560072,1.560072,51.474116
9.321177,0.882735,12.312153,1.425654,1.425654,52.567129
6.073579,0.883005,12.315780,2.157561,2.157561,52.120857
5.973384,0.917228,9.756468,0.761171,0.761171,36.676748
6.780040,1.028523,9.126309,0.691563,0.691563,36.425397
6.151533,0.808633,10.145140,0.952309,0.952309,38.108071
6.490629,0.972947,8.804122,0.664627,0.664627,32.897295
5.732218,1.087739,10.836888,0.889583,0.889583,46.119759
5.948586,1.011716,9.081953,0.439715,0.439715,29.861720
7.207459,0.950292,10.133542,0.614600,0.614600,34.798860
5.857387,0.947486,8.172577,0.801827,0.801827,35.145883
6.589995,1.002926,8.947911,0.763219,0.763219,33.043683
8.685102,1.125814,11.307870,0.835574,0.835574,40.869878
6.498135,0.871020,9.862335,0.789753,0.789753,35.881771
6.321209,0.935746,11.421550,0.879468,0.879468,37.055033
5.502039,0.836386,12.403143,1.177466,1.177466,47.575459
5.899729,0.653811,12.501110,0.983146,0.983146,39.920544
6.224112,0.985567,13.883974,0.995839,0.995839,48.141908
7.571706,0.557882,12.289607,0.841713,0.841713,45.034166
6.206281,0.552895,13.010672,1.771763,1.771763,50.561765
6.193704,0.458063,12.625134,0.800651,0.800651,45.942985
8.999674,0.383345,14.235724,1.149471,1.149471,56.533388
6.757455,0.415210,13.365358,2.165498,2.165498,65.117840
7.478226,0.440869,13.442768,1.776668,1.776668,65.299110
13.411550,0.451496,14.636468,2.428132,2.428132,83.249885
6.616157,0.585633,12.900272,2.614084,2.614084,80.558825
7.080206,0.559395,12.992129,1.579683,1.579683,70.183437
6.355642,0.638999,13.326015,3.513766,3.513766,88.474301
6.476138,0.664218,13.114087,5.783947,5.783947,85.058817
6.854543,0.708971,13.423503,3.060221,3.060221,74.284764
9.487392,0.645332,14.680103,3.686153,3.686153,93.487980
6.286992,0.657812,14.403344,2.449644,2.449644,97.514032
6.797778,0.656830,13.050795,9.222412,9.222412,82.723501
7.200181,0.724925,14.009132,3.070310,3.070310,82.344370
8.902257,0.779639,14.347689,2.356746,2.356746,99.131829
7.042751,0.851650,14.457979,4.782375,4.782375,125.004737
6.121565,0.993426,13.334061,4.662475,4.662475,92.619909
7.238169,0.932078,13.021737,3.490286,3.490286,89.083767
10.645380,0.889499,14.280319,3.637253,3.637253,91.349541
6.101587,0.874723,13.242763,1.609763,1.609763,70.539517
6.047734,0.888041,13.320455,10.336843,10.336843,66.254838
6.535788,0.915007,13.413771,1.523442,1.523442,56.648336
13.887273,0.840582,13.961257,2.065097,2.065097,68.639956
6.041263,0.832529,13.346082,2.879410,2.879410,62.022034
6.703755,1.201855,14.629749,0.766340,0.766340,43.703335
7.920382,0.826396,11.453986,0.876692,0.876692,40.258327
6.041173,0.746709,10.288988,0.846378,0.846378,49.274049
6.358640,0.995121,9.975640,0.904801,0.904801,37.373064
5.537164,0.951073,9.610905,0.597769,0.597769,35.024939
5.989778,0.902721,18.986394,0.653607,0.653607,46.182201
6.430275,0.774561,10.622958,0.815859,0.815859,37.193456
5.972841,0.806189,10.958323,0.798552,0.798552,37.610665
7.398364,0.949190,12.466905,0.971462,0.971462,42.946265
6.100293,0.892975,12.607543,1.102738,1.102738,54.758234
5.904468,0.816735,10.826782,1.381126,1.381126,40.259947
6.187927,0.849484,9.919848,0.817156,0.817156,37.520693
7.280194,0.808417,9.887549,0.897096,0.897096,39.577504
6.045144,0.867215,12.206867,1.360674,1.360674,48.475589
6.323202,0.959707,11.065982,1.011437,1.011437,41.480333
7.442908,0.804549,11.689512,1.152744,1.152744,44.511572
6.280356,0.914027,12.562716,1.491665,1.491665,52.051203
6.380440,0.785269,11.208030,0.648619,0.648619,41.151027
7.058100,0.804282,11.854856,0.817062,0.817062,43.568952
15.054829,0.744961,14.376390,1.720637,1.720637,59.517640
6.473160,0.848270,13.176157,1.726546,1.726546,58.771351
6.243851,0.790090,12.761718,1.118717,1.118717,44.988622
7.298110,0.762797,13.030432,1.187143,1.187143,48.996141
6.160884,0.686484,11.654666,0.786729,0.786729,59.580786
5.946924,0.757804,12.498463,1.215614,1.215614,46.863585
7.340274,0.857148,14.132685,1.265210,1.265210,49.351631
6.330818,0.667965,12.394473,1.949650,1.949650,53.187953
6.162136,0.773639,12.138276,1.589044,1.589044,51.121067
7.179051,0.850232,12.287592,1.167589,1.167589,58.203794
11.555946,1.073895,13.971270,1.405471,1.405471,60.991478
6.202589,0.808725,12.274586,1.117965,1.117965,53.508428
5.764090,0.922942,12.464730,0.965711,0.965711,50.472359
7.816070,0.940037,13.633601,1.137546,1.137546,53.186370
6.147213,0.809842,11.608482,1.119804,1.119804,50.089185
6.622410,1.057186,14.277483,1.081776,1.081776,49.569159
6.161783,0.928418,24.392582,1.913423,1.913423,67.677758
6.197267,0.781342,12.101396,1.424193,1.424193,51.074530
6.867983,0.898209,12.615604,0.873187,0.873187,49.259182
6.090955,0.932130,11.897489,1.606273,1.606273,62.461546
6.116689,1.039844,13.772641,12.796771,12.796771,66.968546
7.025531,1.147027,12.904054,1.859099,1.859099,57.353096
14.648764,0.787583,13.812751,3.058349,3.058349,83.636228
6.332628,0.950784,12.821733,1.596350,1.596350,66.944572
6.347880,0.908074,12.853099,2.183124,2.183124,58.857855
14.493220,0.760045,15.921569,1.768118,1.768118,82.704614
5.802913,0.822245,13.016611,1.829344,1.829344,67.813625
7.293841,1.027829,13.047014,1.788448,1.788448,59.126905
6.633498,1.299807,13.665957,2.305329,2.305329,65.575602
12.606945,0.751029,15.223775,4.112185,4.112185,88.203971
6.690476,0.810905,12.815640,3.123459,3.123459,68.907933
7.192803,0.856688,13.179978,1.273998,1.273998,60.634332
6.416020,0.864208,23.052930,2.112863,2.112863,75.745523
6.237244,0.844912,13.475247,4.854213,4.854213,79.183900
8.361102,1.269431,14.243062,1.627122,1.627122,56.724687
6.364161,0.910138,13.275463,1.421829,1.421829,56.516582
6.045749,0.847120,13.462840,1.678728,1.678728,54.544117
6.898556,1.226671,14.086935,1.893632,1.893632,62.181369
6.265220,0.809239,13.299744,2.244126,2.244126,67.162372
6.854757,0.870350,14.009303,11.739713,11.739713,74.528424
8.132636,0.843648,14.331522,2.106262,2.106262,90.814952
6.447632,0.913361,13.341034,1.877023,1.877023,71.313585
6.756612,0.883289,13.680605,2.519481,2.519481,63.575062
7.556200,0.931758,14.861591,1.721757,1.721757,76.057327
6.493366,0.811954,13.922147,4.050710,4.050710,83.421266
6.462341,0.793169,13.520267,2.963709,2.963709,81.875134
7.259699,0.868553,13.667387,4.894000,4.894000,79.181616
7.538386,1.205500,14.102647,2.806278,2.806278,89.350321
6.601766,0.773999,20.966177,3.454191,3.454191,83.137270
6.542354,0.869786,13.411325,5.483306,5.483306,87.652950
6.920967,1.176236,13.849340,4.319476,4.319476,74.409716
6.718542,0.889670,23.392910,2.192585,2.192585,115.919232
6.304025,0.926676,13.234661,3.962776,3.962776,102.832374
6.248101,0.936455,13.221455,7.027845,7.027845,105.187501
7.613756,0.808247,13.928900,5.921808,5.921808,79.643497
6.295975,0.878261,13.618985,2.473801,2.473801,72.461446
6.150486,0.815161,14.492667,11.671613,11.671613,82.579384
7.884401,0.698011,15.585606,3.533001,3.533001,86.183933
6.301166,0.728152,14.470840,5.997468,5.997468,77.521590
7.567071,0.611647,15.149645,2.615241,2.615241,72.117952
10.648001,0.609572,15.985342,2.940239,2.940239,89.385719
6.480231,0.792126,14.733000,10.906270,10.906270,70.983192
7.567594,0.738219,16.409400,2.844725,2.844725,84.802522
6.481339,0.634005,14.715915,1.705520,1.705520,81.965714
7.667560,0.639696,16.289885,1.869568,1.869568,63.639960
6.158225,0.551747,15.107294,2.795028,2.795028,78.515444
7.489470,0.504285,14.655608,1.792448,1.792448,66.844171
6.426781,0.636020,11.383267,2.339069,2.339069,69.616037
6.002732,11.219778,7.963599,1.290122,1.290122,58.393097
7.581703,0.961710,6.743507,1.179149,1.179149,41.220835
6.441816,0.974484,6.982396,1.036961,1.036961,37.917667
5.946455,1.745414,5.773335,0.821639,0.821639,35.307271
6.363522,0.980113,5.093543,12.468952,12.468952,42.998867
6.480007,1.058130,6.313691,1.057339,1.057339,35.271475
5.842759,0.961575,5.946237,1.255440,1.255440,44.051996
6.236871,0.837106,6.759619,0.737665,0.737665,32.316633
7.645663,0.838649,8.784192,0.805172,0.805172,38.110902
6.881436,0.812837,9.404879,1.446151,1.446151,49.263545
5.803150,0.717454,9.294486,1.235524,1.235524,41.012103
14.066683,0.772355,11.055694,1.425769,1.425769,57.593345
6.434614,0.817931,10.701387,2.492871,2.492871,62.330478
8.374399,1.009129,11.990407,1.419743,1.419743,55.155561
15.911885,0.892252,12.865640,2.166850,2.166850,69.199904
6.219177,0.838212,11.683790,1.211059,1.211059,52.892235
7.365312,0.843082,13.126711,1.681715,1.681715,60.097604
6.373763,0.809156,12.019647,2.616001,2.616001,63.633265
6.353422,0.687127,11.904644,1.582058,1.582058,61.429894
8.664433,0.847493,15.344921,6.656459,6.656459,97.626496
5.904510,1.037300,14.255675,2.583504,2.583504,119.342445
6.634244,0.738743,13.364512,18.055790,18.055790,85.790215
7.605838,1.016240,15.541086,3.251896,3.251896,85.438916
6.022581,0.883701,26.840258,1.476969,1.476969,73.568279
6.251037,0.921327,12.761041,1.641384,1.641384,64.600145
6.428329,0.947501,12.646938,1.350943,1.350943,50.624690
17.685248,1.020872,13.812235,1.895917,1.895917,71.713049
6.254412,0.981996,13.137461,2.299282,2.299282,68.978339
6.757126,1.079121,12.683360,2.133610,2.133610,53.246347
15.934232,0.811948,15.230566,4.542052,4.542052,86.481744
6.318145,1.035617,13.266961,16.852354,16.852354,73.130077
8.143614,1.094030,14.027991,1.531865,1.531865,54.218763
6.288852,1.076541,25.393054,1.312342,1.312342,67.661571
5.970211,1.009026,12.874409,1.262967,1.262967,47.267777
6.522019,1.275037,13.627310,1.364169,1.364169,51.727369
6.054195,1.023804,12.933856,0.943487,0.943487,49.632630
16.267174,0.800414,14.036904,1.095547,1.095547,60.761118
6.650808,0.901666,11.951121,1.175623,1.175623,42.495687
6.657595,0.899245,10.803994,1.191692,1.191692,51.661481
7.795581,0.897508,11.249245,1.564994,1.564994,45.330449
5.502950,1.100398,9.879801,0.994915,0.994915,49.057206
7.634125,1.176171,10.110305,0.693107,0.693107,38.609841
6.263253,0.870387,8.546262,0.724142,0.724142,34.422758
7.298904,1.208209,10.457149,1.172978,1.172978,42.378918
6.850268,1.032574,11.537601,1.383122,1.383122,49.053863
5.787092,0.997905,11.931706,1.067846,1.067846,44.050583
6.530364,1.043339,25.297509,1.588772,1.588772,70.358490
6.315300,0.892234,11.986526,1.285930,1.285930,47.570024
7.820942,1.133252,13.020808,1.456215,1.456215,54.386154
5.936743,0.980142,12.442167,1.638763,1.638763,55.373832
7.696768,1.096009,12.657864,2.119081,2.119081,60.177019
6.121207,0.877106,11.007884,1.280102,1.280102,48.411833
7.204861,1.270142,12.371143,1.053434,1.053434,55.436698
6.425382,1.147655,13.332841,2.559874,2.559874,64.448479
8.742833,1.034979,18.258996,4.677879,4.677879,183.094921
10.703899,1.361392,31.007784,5.929227,5.929227,189.740750
22.099576,0.870375,20.246457,6.129894,6.129894,227.524139
10.970827,1.535879,20.596674,15.901488,15.901488,222.705718
21.776261,0.850123,20.571149,4.881931,4.881931,222.999031
7.816034,0.826583,16.855697,4.340637,4.340637,172.131794
8.286244,0.955404,19.587081,5.676748,5.676748,202.436420
7.614670,0.808055,18.852040,4.593037,4.593037,216.831913
7.955100,1.195252,18.726835,25.903026,25.903026,214.972745
9.371630,0.890467,18.515888,21.172843,21.172843,245.415037
7.416499,0.958141,16.448807,11.224514,11.224514,198.555611
7.977487,0.858461,16.925132,4.387897,4.387897,199.794379
9.006837,1.217501,18.837105,4.393197,4.393197,190.331512
18.585822,0.870565,19.700306,4.219401,4.219401,219.315701
7.556141,0.831629,18.237788,21.676221,21.676221,217.092262
8.480758,0.940268,19.353416,5.118366,5.118366,219.209413
8.930869,1.003114,18.554013,7.400128,7.400128,230.846786
8.069372,1.003655,18.304701,4.883128,4.883128,253.023512
