#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.696745,0.028871,0.251226,0.007190,0.007190,5.991524
5.948905,0.059199,1.821687,0.001517,0.001517,7.833516
5.285958,0.261419,2.796223,0.070697,0.070697,16.473402
5.250970,0.239537,3.945775,0.167504,0.167504,17.147745
5.420852,0.239255,5.157808,0.294519,0.294519,20.186341
4.651089,0.224120,7.598498,0.246420,0.246420,23.101872
5.006057,0.209317,7.407049,0.319473,0.319473,24.394324
4.993386,0.218575,8.213347,0.217279,0.217279,25.370983
4.949529,0.236299,9.006227,0.281729,0.281729,26.952985
4.796443,0.231865,10.165880,0.368012,0.368012,29.596805
5.451847,0.222561,11.908171,0.289453,0.289453,33.063635
5.568039,0.263516,11.433599,0.513527,0.513527,35.887333
5.449877,0.253604,11.855841,0.429248,0.429248,37.765587
4.987742,0.264130,11.451963,0.426339,0.426339,35.399196
5.135501,0.208269,11.722151,0.702857,0.702857,36.700453
4.940385,0.248461,12.341825,0.797984,0.797984,53.136869
5.333192,0.323686,12.419228,1.084950,1.084950,48.663274
7.758228,0.324612,12.259102,0.686367,0.686367,49.281170
5.704189,0.325700,12.219281,0.792443,0.792443,44.223017
5.587705,0.348749,12.069365,0.647668,0.647668,38.987429
5.861543,0.316607,12.473765,0.963226,0.963226,43.668103
5.020942,0.312739,13.418447,1.102049,1.102049,45.636821
5.040723,0.281833,13.180794,0.837257,0.837257,46.466902
5.413860,0.280151,13.246404,1.118606,1.118606,46.265652
5.764594,0.361590,14.500219,1.093364,1.093364,41.509087
5.882665,0.255452,13.562296,1.629683,1.629683,44.552262
6.204111,0.327259,13.324734,1.511611,1.511611,48.953965
5.809241,0.464568,16.076110,1.986470,1.986470,84.768194
5.216031,0.343134,13.148427,1.335916,1.335916,48.000965
5.364892,0.327611,14.096292,1.541266,1.541266,51.187050
5.444064,0.272755,13.571220,1.497880,1.497880,45.772508
5.271543,0.327466,14.024313,1.826868,1.826868,50.803030
5.996793,0.240893,15.352062,1.425433,1.425433,61.717464
6.348912,0.450468,14.115906,1.348329,1.348329,46.431274
6.601007,0.305545,14.517593,2.099644,2.099644,54.299331
6.192393,0.337730,14.783210,1.658543,1.658543,57.804614
6.256411,0.242589,14.789555,1.730457,1.730457,56.338156
6.269895,0.351080,14.975402,2.615479,2.615479,67.876999
6.076221,0.319018,14.466815,2.159034,2.159034,54.758073
6.065934,0.345725,14.601650,2.109423,2.109423,55.564780
6.156681,0.280435,14.435409,1.993334,1.993334,61.912252
6.255432,0.266613,15.014249,2.759366,2.759366,85.140812
6.404851,0.266734,14.910786,2.607333,2.607333,89.373854
5.980656,0.250108,13.999775,1.916869,1.916869,63.184824
6.241500,0.264628,14.781455,4.317572,4.317572,81.550789
6.414953,0.282257,14.626730,3.924314,3.924314,76.437688
6.029728,0.294608,14.392044,4.704816,4.704816,101.511148
6.187170,0.271247,15.149395,2.631420,2.631420,119.529850
6.802048,0.306273,15.455215,2.784088,2.784088,114.934482
5.976017,0.222738,14.410374,3.505778,3.505778,104.146130
6.399692,0.265764,14.676278,3.279892,3.279892,118.578123
5.681247,0.254480,13.562711,3.172566,3.172566,109.807385
6.078278,0.321142,14.264099,2.873315,2.873315,135.290270
5.303104,0.302103,13.434534,3.328507,3.328507,83.630619
5.764708,0.341692,14.359425,2.693525,2.693525,107.796311
5.851984,0.305978,13.902093,3.073010,3.073010,85.600504
6.057910,0.308260,14.721535,2.988724,2.988724,120.857993
5.676608,0.327705,14.798312,4.113621,4.113621,128.235778
5.454857,0.368501,14.284243,3.049419,3.049419,108.207307
5.893098,0.283668,14.216854,3.515474,3.515474,94.852387
6.407098,0.290008,14.689804,5.848719,5.848719,115.522926
5.927796,0.288860,14.763918,5.338809,5.338809,98.678749
5.522257,0.234963,14.031102,2.961283,2.961283,64.306828
5.439020,0.255227,13.885131,4.678256,4.678256,88.357398
5.660877,0.349258,14.908494,5.386153,5.386153,77.640472
5.653472,0.322545,14.367698,5.593047,5.593047,100.251371
5.953055,0.368975,14.609137,4.873385,4.873385,125.949573
6.005362,0.399137,14.564040,6.080328,6.080328,71.914134
5.583786,0.404172,14.240069,3.821640,3.821640,62.427345
5.736307,0.382480,13.569241,4.318518,4.318518,61.632969
