#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
8.029857,0.069555,0.619516,0.006720,0.006720,8.732031
7.978909,0.332675,2.943022,0.001781,0.001781,11.260533
9.028088,0.455871,3.370546,0.741637,0.741637,29.585671
8.024732,0.449227,4.809462,0.994987,0.994987,34.861643
9.511299,0.494671,6.772131,0.711304,0.711304,39.730937
10.070190,0.445709,11.518313,1.114556,1.114556,61.237796
7.359762,0.434180,7.307620,1.676143,1.676143,47.304104
7.523092,0.492467,7.781392,1.599619,1.599619,57.016063
8.443943,0.596359,10.424416,1.421110,1.421110,67.294954
8.632027,0.558266,7.691971,2.507929,2.507929,80.317287
7.152442,0.920405,8.661021,1.221967,1.221967,60.286897
8.189707,0.669367,9.672943,1.439632,1.439632,61.185495
8.125120,0.914271,7.577558,0.713096,0.713096,40.085874
8.934303,0.709557,8.564509,1.795061,1.795061,65.946360
8.223715,0.796786,9.149058,1.279319,1.279319,51.205168
7.456697,0.955708,10.644165,2.259692,2.259692,67.371761
7.204118,0.952560,11.821524,1.919994,1.919994,61.966059
8.210958,0.885502,11.415808,1.297188,1.297188,60.764012
7.411752,0.703488,11.641627,9.834545,9.834545,101.004834
8.593333,1.044621,13.503963,7.857983,7.857983,114.830152
7.305363,0.772685,11.983421,2.440415,2.440415,105.285952
9.202231,1.339343,16.098199,3.881100,3.881100,106.855445
8.874540,1.182993,15.737406,4.423775,4.423775,103.171863
9.013531,1.222346,19.046702,3.886636,3.886636,104.076351
8.542711,1.085668,14.718178,2.827056,2.827056,121.763865
8.796582,1.011064,15.451118,2.888600,2.888600,117.223940
9.618830,1.116835,14.083203,5.807205,5.807205,124.737200
8.497083,0.835542,14.869979,3.705697,3.705697,135.673827
7.759213,1.001587,19.416647,3.493057,3.493057,146.532260
9.969244,1.112569,15.313149,3.989281,3.989281,138.123495
9.152619,0.971982,16.885142,5.996167,5.996167,145.265633
7.945146,1.180051,18.864949,2.677056,2.677056,157.032081
9.244288,1.116119,14.112341,3.984623,3.984623,128.168222
8.892463,1.572684,17.875283,2.239230,2.239230,146.367648
7.533862,0.891636,17.180425,5.018648,5.018648,102.744739
8.358638,1.026002,14.013354,4.322934,4.322934,86.772137
9.569557,1.248172,14.622659,1.047095,1.047095,60.054055
6.788241,0.837550,11.239526,1.384526,1.384526,47.173407
6.049547,0.940076,10.468469,2.070590,2.070590,48.851244
9.008356,1.074062,11.673078,1.197562,1.197562,50.905825
8.655158,1.008144,10.685462,1.166708,1.166708,51.299442
9.446607,1.163745,17.577586,1.293823,1.293823,59.675592
9.254515,1.159467,9.355358,4.188381,4.188381,68.185557
6.777092,0.882408,9.004629,2.504791,2.504791,66.166870
9.672617,1.011954,12.741701,2.656496,2.656496,76.853115
8.700266,0.999361,10.142427,2.069689,2.069689,53.740640
6.758918,0.918994,11.262682,4.260598,4.260598,85.711120
9.726714,1.202827,20.118713,5.013003,5.013003,114.228040
10.313889,1.304950,14.758010,2.144140,2.144140,77.275071
6.974327,1.211349,10.389403,2.583259,2.583259,65.969627
7.424714,1.059038,11.015336,3.415589,3.415589,74.259238
8.760648,1.303930,13.480449,4.642559,4.642559,107.168774
6.753849,1.007579,11.356762,2.476142,2.476142,89.467027
8.679878,1.047150,13.374830,4.091230,4.091230,100.930765
9.118607,1.116759,16.278194,2.349885,2.349885,122.474866
8.608772,1.298155,15.523073,2.407478,2.407478,133.065109
7.956643,0.933378,14.276627,2.476012,2.476012,111.360034
8.522844,1.194740,13.728696,2.526114,2.526114,119.862772
9.554492,1.775368,23.314411,2.700962,2.700962,174.456714
7.763397,1.328704,12.597618,7.342067,7.342067,111.187828
9.168763,1.310161,15.711928,2.771722,2.771722,105.818262
8.860589,1.362977,12.466887,4.405060,4.405060,127.055426
11.639566,1.433097,18.486471,3.612453,3.612453,151.705263
10.636403,1.314385,17.495893,8.445115,8.445115,100.052777
10.128640,1.253655,13.662734,4.863829,4.863829,123.786992
10.362058,1.236242,15.654454,1.927930,1.927930,81.069398
8.359723,1.287189,13.125237,10.705706,10.705706,102.740038
7.776909,1.150467,16.387233,3.565446,3.565446,82.827689
10.030761,1.245601,16.048195,2.577518,2.577518,81.552766
7.335661,0.943604,14.327868,1.954505,1.954505,93.086395
8.254970,1.079783,15.139658,2.855933,2.855933,87.933284
8.476272,1.131068,18.358032,2.202383,2.202383,79.624457
8.703740,0.790674,14.343816,3.663380,3.663380,84.010725
7.873377,0.842544,13.114326,1.702828,1.702828,126.478531
9.830487,1.140664,14.338670,3.862415,3.862415,108.787249
9.534441,1.228350,14.566518,1.817154,1.817154,132.513076
7.705985,1.322440,14.350535,10.648344,10.648344,118.979571
7.539453,1.110941,13.350425,4.710214,4.710214,87.827360
7.977964,0.986844,13.039006,4.253693,4.253693,95.414254
12.997554,1.116521,21.971564,4.026952,4.026952,147.942134
