#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,27.489299,0.000000,0.000000,8.583302,4.141223,0.073713,49.646945
0.000000,0.000000,22.850181,0.000000,0.000000,4.201888,3.529578,0.079022,45.286644
0.000000,0.000000,25.927416,0.000000,0.000000,3.533628,3.713080,0.080683,44.213830
0.000000,0.000000,23.692334,0.000000,0.000000,3.424273,2.724531,0.071173,39.969377
0.000000,0.000000,21.766196,0.000000,0.000000,3.847662,3.261052,0.093254,37.025444
0.000000,0.000000,26.909960,0.000000,0.000000,2.956146,3.064035,0.076026,43.800190
0.000000,0.000000,24.531916,0.000000,0.000000,3.160188,3.075151,0.086566,39.824437
0.000000,0.000000,24.818550,0.000000,0.000000,2.641743,2.756838,0.750463,41.739166
0.000000,0.000000,25.333194,0.000000,0.000000,4.525910,3.620542,0.532570,40.604139
0.000000,0.000000,24.462783,0.000000,0.000000,4.959081,5.052759,0.181222,43.677053
0.000000,0.000000,23.530837,0.000000,0.000000,4.061886,3.400238,0.091897,44.322392
0.000000,0.000000,23.523912,0.000000,0.000000,3.259292,3.206597,0.539593,40.460562
0.000000,0.000000,24.303079,0.000000,0.000000,4.443882,4.175236,0.104035,41.599946
0.000000,0.000000,24.479904,0.000000,0.000000,3.403495,3.594281,0.086284,44.021512
0.000000,0.000000,23.926761,0.000000,0.000000,3.216281,3.292285,0.079576,40.207224
0.000000,0.000000,25.142669,0.000000,0.000000,3.435607,3.821564,0.741876,42.417477
0.000000,0.000000,22.682291,0.000000,0.000000,4.197396,4.221515,0.127321,40.766075
0.000000,0.000000,24.560496,0.000000,0.000000,2.935584,3.270399,0.067167,43.477850
0.000000,0.000000,22.644880,0.000000,0.000000,2.556055,3.292676,0.065202,38.847015
0.000000,0.000000,22.201255,0.000000,0.000000,2.730465,3.749180,0.882680,37.706211
0.000000,0.000000,26.005873,0.000000,0.000000,3.898951,3.424274,0.058135,43.908024
0.000000,0.000000,22.718707,0.000000,0.000000,3.258136,3.460761,0.065495,39.805502
0.000000,0.000000,22.529367,0.000000,0.000000,2.435834,3.583012,0.129775,39.223311
0.000000,0.000000,23.062515,0.000000,0.000000,2.086591,2.770669,0.664482,38.849370
0.000000,0.000000,22.460923,0.000000,0.000000,3.756460,3.809123,0.059491,38.164513
0.000000,0.000000,23.294359,0.000000,0.000000,2.613430,3.634600,0.080379,41.066498
0.000000,0.000000,22.003033,0.000000,0.000000,1.948361,3.388524,0.650033,37.771390
0.000000,0.000000,23.188261,0.000000,0.000000,3.624406,4.343624,0.104903,40.306820
0.000000,0.000000,22.241586,0.000000,0.000000,2.212110,3.660004,0.072063,39.973384
0.000000,0.000000,22.655117,0.000000,0.000000,2.560452,5.307248,0.687085,38.194246
0.000000,0.000000,23.556730,0.000000,0.000000,3.003370,3.659775,0.070380,41.952326
0.000000,0.000000,22.559335,0.000000,0.000000,1.870219,3.187773,0.060392,39.089183
0.000000,0.000000,22.711406,0.000000,0.000000,1.852957,3.081448,0.852217,37.974566
0.000000,0.000000,23.338891,0.000000,0.000000,3.380979,3.514749,0.059568,40.168217
0.000000,0.000000,21.860047,0.000000,0.000000,2.933733,3.500679,0.080520,38.787372
0.000000,0.000000,25.169501,0.000000,0.000000,2.570764,3.482387,0.111580,42.738286
0.000000,0.000000,25.363384,0.000000,0.000000,2.048009,3.481355,0.122935,42.782645
0.000000,0.000000,22.619031,0.000000,0.000000,1.862435,2.844698,0.070163,37.744846
0.000000,0.000000,21.379261,0.000000,0.000000,1.660055,3.494219,0.777690,35.441230
0.000000,0.000000,22.945542,0.000000,0.000000,4.451936,5.886705,0.120232,38.616587
0.000000,0.000000,23.079776,0.000000,0.000000,2.910300,3.214706,0.058937,43.628902
0.000000,0.000000,21.882552,0.000000,0.000000,1.946982,2.991873,0.061869,37.280285
0.000000,0.000000,24.470413,0.000000,0.000000,1.608661,3.321368,1.197421,40.063864
0.000000,0.000000,22.358874,0.000000,0.000000,3.458015,3.859735,0.066657,38.209456
0.000000,0.000000,22.004845,0.000000,0.000000,2.126261,3.578213,0.068980,38.686193
0.000000,0.000000,23.858042,0.000000,0.000000,1.673179,3.448179,0.082561,39.422261
0.000000,0.000000,22.183548,0.000000,0.000000,1.313646,3.209137,0.859599,36.805921
0.000000,0.000000,22.432622,0.000000,0.000000,4.784341,4.385356,0.130686,37.538450
0.000000,0.000000,25.424734,0.000000,0.000000,2.326664,3.828849,0.112241,45.313220
0.000000,0.000000,23.492212,0.000000,0.000000,1.689670,3.093944,0.059047,39.775995
