#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.005826,3,1,0,1938
0.000808,4,1,0,2623
0.062370,5,1,0,3222
0.126566,6,1,0,3775
0.236127,7,1,0,4196
0.247468,8,1,0,4584
0.208865,9,1,0,4892
0.527482,10,1,0,5144
0.270157,11,1,0,5703
0.633146,12,1,0,6128
0.454854,13,1,0,6625
0.660434,10,4,0,6182
0.633065,5,10,0,4145
1.768891,5,11,0,3930
1.500369,5,12,0,3556
0.904439,5,13,0,3201
0.854331,6,13,0,3695
0.446344,7,13,0,4310
0.262532,8,13,0,4966
0.365439,9,13,0,5621
0.496643,10,13,0,6178
0.439525,10,11,0,6016
0.786886,11,11,0,6556
0.821114,12,11,0,6971
0.553974,13,11,0,7430
0.525948,14,11,0,7808
0.548647,15,11,0,8192
0.966344,16,11,0,8616
0.908691,16,8,0,8719
1.553644,16,5,0,8882
0.825592,17,5,0,9304
1.002895,16,6,0,9384
0.959319,15,8,0,9414
1.107813,12,11,0,7652
1.015377,11,13,0,6967
1.701769,12,13,0,7377
1.111824,10,16,0,6397
1.073476,8,18,0,5053
1.226125,10,17,0,5927
0.952942,9,19,0,5559
0.894322,6,22,0,3789
0.785966,6,23,0,3568
1.184781,6,24,0,3439
0.700901,6,24,0,3392
1.089482,7,24,0,3714
1.217213,8,24,0,4040
1.090199,7,24,0,3314
1.399556,8,24,0,3751
1.044583,8,21,0,3688
0.979057,9,21,0,3862
1.144233,10,21,0,4330
1.343179,9,23,0,4330
1.329759,10,23,0,4720
1.092318,11,23,0,5044
1.504143,11,24,0,5169
1.889980,11,25,0,5284
1.646897,11,26,0,5716
1.769158,13,25,0,6073
2.207798,12,27,0,6224
3.531193,15,25,0,6686
1.801718,12,28,0,6123
3.920423,13,28,0,6579
3.636766,12,30,0,6050
3.521033,12,31,0,6043
3.204847,14,30,0,6776
3.323178,11,34,0,6067
2.785136,9,37,0,4951
2.965177,12,35,0,6049
3.297936,11,37,0,5582
3.701116,12,37,0,5872
2.684712,12,38,0,6154
2.013085,12,39,0,6076
2.515538,12,40,0,6187
3.047683,13,40,0,6951
2.318201,11,43,0,5937
2.505349,16,39,0,8018
2.261314,12,44,0,7007
2.796433,12,40,0,6620
2.481463,9,44,0,5775
2.710775,7,47,0,5190
2.659076,5,50,0,4316
2.507952,5,51,0,3280
2.222958,5,47,0,2856
2.316786,5,48,0,2649
2.527703,5,44,0,2452
2.556234,6,44,0,2720
1.527301,7,44,0,3054
1.507827,8,44,0,3476
2.555114,8,40,0,3551
2.253166,9,40,0,3959
2.454986,10,40,0,4273
2.466930,10,41,0,4240
2.243247,6,46,0,3560
1.489928,6,47,0,3226
2.274600,6,48,0,3299
2.454283,7,48,0,3680
1.986950,8,48,0,4013
1.901250,8,39,0,4047
2.244247,9,39,0,4523
1.882651,10,39,0,4766
1.933925,11,39,0,5086
1.952706,12,39,0,5518
1.918234,13,39,0,6039
2.186176,13,40,0,6567
2.205568,13,41,0,7053
2.406133,13,42,0,7052
2.365178,13,43,0,7164
2.311763,14,43,0,7618
2.688864,13,45,0,7307
2.567884,13,39,0,7352
2.506470,14,39,0,7697
1.450617,15,39,0,8090
2.279898,15,40,0,8460
2.091024,17,39,0,8993
2.140769,14,43,0,8161
1.807564,15,43,0,8680
1.454125,9,49,0,6065
1.902811,9,42,0,5993
2.068052,7,37,0,5024
2.156473,6,30,0,4144
1.599421,6,31,0,3686
1.825180,5,30,0,2680
1.814915,5,25,0,2537
2.950665,6,25,0,2929
1.560466,6,26,0,3084
1.155639,7,26,0,3335
1.360634,7,27,0,3299
0.871933,8,27,0,3607
0.843010,8,24,0,3566
0.793501,8,13,0,3496
0.792158,7,14,0,3047
1.150022,7,21,0,3026
0.831659,8,21,0,3354
1.546351,9,21,0,3762
1.427010,9,22,0,3975
1.361994,9,24,0,4283
1.473164,10,24,0,4831
1.556518,9,26,0,4595
1.760820,10,26,0,5027
1.918215,10,27,0,5135
1.378848,11,27,0,5523
0.383641,11,28,0,5857
0.524202,8,32,0,5364
0.388897,7,33,0,4532
0.585409,7,24,0,4445
0.684331,7,11,0,4094
0.589626,8,11,0,4366
0.371906,8,12,0,4214
0.554942,10,11,0,4976
0.685627,10,12,0,4973
0.856811,11,12,0,5448
0.586077,12,12,0,5905
0.849482,11,14,0,6133
0.835075,10,16,0,6278
0.689418,11,16,0,6482
0.827656,9,11,0,4604
0.601816,10,11,0,5008
0.649980,10,12,0,5201
0.897391,14,9,0,6528
1.127515,12,12,0,6177
1.060357,12,13,0,6457
1.655175,12,14,0,6548
4.687756,11,16,0,6718
1.153219,9,16,0,6213
1.249820,7,19,0,5641
0.687734,7,20,0,5662
0.753527,7,21,0,5602
0.736903,7,22,0,5392
0.861890,7,21,0,5201
0.761615,7,13,0,4933
0.935515,8,13,0,5269
0.426095,9,13,0,5562
0.503180,9,11,0,5278
0.536327,10,11,0,5724
0.637291,10,11,0,5638
0.649300,11,11,0,5820
0.892922,11,10,0,5654
0.697643,11,9,0,5567
1.200382,11,10,0,5737
1.067229,13,9,0,6038
1.201007,14,9,0,6329
1.055936,13,8,0,5714
1.581354,16,9,0,6992
1.107858,16,10,0,7379
0.810850,14,8,0,6380
1.029186,13,10,0,6437
1.473029,13,11,0,5664
1.330954,11,13,0,4982
1.188239,12,13,0,5224
1.217733,13,13,0,5427
1.507443,14,13,0,5826
1.421772,17,12,0,7295
1.420165,16,13,0,6794
1.546242,17,13,0,7211
1.649567,18,13,0,7573
1.789712,18,14,0,7926
1.911425,19,14,0,8457
1.547471,21,13,0,8734
1.655479,21,14,0,8954
1.949344,21,15,0,8894
1.771465,19,18,0,8711
1.879305,21,17,0,9398
2.977626,20,19,0,8876
8.024219,21,19,0,9169
1.956109,15,26,0,8077
2.368518,12,30,0,6535
2.464339,13,30,0,6837
2.314257,16,28,0,7967
3.842104,13,32,0,6766
2.359940,14,32,0,7022
2.840809,13,34,0,6406
2.530631,12,36,0,5898
3.058560,13,36,0,6156
2.649160,15,35,0,7215
3.763297,9,42,0,5085
2.485021,10,42,0,5430
2.509404,12,41,0,6190
2.792424,11,43,0,6125
3.134667,14,41,0,7377
2.632707,12,44,0,5987
5.049436,12,45,0,6395
2.292933,13,45,0,6989
2.867612,13,46,0,6732
3.344355,7,53,0,4691
2.809087,8,53,0,4979
0.614641,5,57,0,3802
0.999752,5,57,0,3588
1.452678,6,57,0,4195
0.708723,6,14,0,3843
0.650513,7,14,0,4429
0.390617,8,14,0,4948
0.347832,9,14,0,5390
0.690370,9,12,0,5660
0.523698,10,12,0,6073
0.885895,11,12,0,6459
0.668097,12,12,0,6787
0.665469,13,12,0,7141
0.730384,14,12,0,7640
1.135384,15,12,0,7983
1.003324,15,9,0,8143
0.785235,16,9,0,8762
0.681919,17,9,0,9372
0.843337,17,8,0,9621
1.554932,13,9,0,9167
1.155643,13,10,0,8242
6.710422,13,10,0,8151
1.347252,7,16,0,5618
1.582010,6,18,0,4959
1.060492,4,21,0,3476
0.681789,4,15,0,2784
0.503676,5,15,0,3045
0.603766,6,15,0,3324
0.475819,7,15,0,3763
0.371726,8,15,0,4104
0.378160,8,10,0,4068
0.505249,9,10,0,4467
0.476081,8,6,0,4405
0.836504,8,5,0,4278
0.879365,9,5,0,4505
1.424187,10,5,0,4852
0.749860,9,6,0,4619
0.813289,8,8,0,4428
1.001343,8,9,0,3856
1.205364,7,11,0,3422
0.894960,7,11,0,3374
1.141620,9,11,0,4035
1.036329,9,11,0,4076
1.192735,9,12,0,4011
1.061971,12,11,0,4830
0.814933,13,11,0,5161
1.063503,12,12,0,4926
0.912008,13,12,0,5394
1.023840,14,12,0,6004
2.137943,14,13,0,6174
1.693567,15,13,0,6515
1.207155,16,13,0,6770
1.642219,18,12,0,7222
1.294346,19,12,0,7533
1.443489,18,14,0,7120
2.017654,17,16,0,7480
1.654858,19,15,0,7826
2.450059,20,15,0,8128
2.165636,18,18,0,7646
1.750063,18,19,0,7855
1.582403,19,19,0,8199
1.836532,17,22,0,7724
2.166592,14,26,0,6629
1.699583,14,27,0,6564
2.521818,13,29,0,6255
3.048247,14,29,0,6709
1.825460,14,30,0,6753
2.077748,16,29,0,7397
1.460822,17,29,0,7813
2.771793,14,33,0,7907
2.554863,15,33,0,8409
1.454262,13,36,0,7118
1.990272,14,36,0,7546
1.726427,13,37,0,7188
2.426938,12,39,0,7004
1.806394,8,42,0,5709
1.067128,5,30,0,4071
7.647707,5,31,0,3744
0.844536,5,16,0,3402
0.759764,6,16,0,3877
0.995632,6,13,0,3628
0.761892,7,13,0,4021
0.491040,8,13,0,4286
0.487565,9,13,0,4633
0.513092,9,12,0,4577
0.987334,11,13,0,5390
0.678326,11,12,0,5390
0.608621,10,10,0,5119
1.194169,10,6,0,5261
1.397204,8,8,0,4701
0.575698,8,9,0,4670
0.671521,8,9,0,4720
1.243302,7,11,0,4559
1.318616,6,13,0,4336
0.728939,6,14,0,4169
1.291620,6,15,0,3841
1.318617,5,15,0,3076
0.754553,4,16,0,2562
0.778183,4,12,0,2695
0.412009,5,12,0,3136
0.397675,6,12,0,3554
0.520075,7,12,0,3950
0.351443,8,12,0,4471
0.334269,9,12,0,5004
0.437465,10,12,0,5504
0.713140,11,12,0,5894
0.561310,12,12,0,6285
0.429810,12,9,0,6279
0.997333,13,9,0,6550
1.013185,14,9,0,6946
0.929379,15,9,0,7349
0.739597,16,9,0,7771
1.091940,17,9,0,8221
1.951744,18,9,0,8661
0.929959,19,9,0,9045
1.007457,19,5,0,9030
1.480160,18,5,0,9273
1.388765,15,8,0,8576
1.242765,17,7,0,9015
1.319359,13,12,0,7530
8.742809,9,17,0,6048
1.608145,11,16,0,6867
2.116259,10,18,0,6301
1.557511,11,18,0,6609
1.783168,11,19,0,6489
1.659961,11,20,0,6154
1.839661,8,24,0,4699
1.722688,9,24,0,4925
1.644115,9,25,0,4648
1.665340,10,25,0,4903
1.908530,10,26,0,5227
1.841184,12,25,0,5732
1.953548,11,27,0,5045
2.047315,11,28,0,5272
3.100874,13,27,0,5649
2.519299,10,31,0,4931
2.029823,10,32,0,5153
2.395390,11,32,0,5416
2.301646,12,32,0,5579
2.554221,12,33,0,5576
2.521979,12,34,0,5513
3.014054,13,34,0,5770
2.556925,15,33,0,6357
2.374547,16,33,0,6750
3.062693,16,34,0,6900
3.157262,18,33,0,7609
2.743606,19,33,0,8179
3.372474,19,34,0,8395
2.295263,21,33,0,9368
2.601914,22,33,0,10002
3.358121,22,34,0,10307
12.399703,22,35,0,10944
2.428223,21,37,0,10772
4.076725,22,37,0,11216
3.506861,17,43,0,9245
2.853075,10,48,0,8012
2.270374,10,49,0,8089
1.398504,9,51,0,8370
1.426392,6,41,0,5568
1.376950,6,37,0,4897
1.197142,6,13,0,4184
0.592300,7,13,0,4567
0.651835,7,14,0,4430
0.838570,8,14,0,4787
0.560240,9,14,0,5089
0.624307,10,14,0,5203
0.604733,11,14,0,5511
1.179059,12,14,0,5983
0.980190,13,14,0,6412
1.006946,14,14,0,6764
0.995787,15,14,0,7143
1.265689,16,14,0,7645
1.102384,17,14,0,8137
0.815669,17,15,0,8694
0.882106,19,14,0,9279
1.428305,17,17,0,9253
1.467779,16,19,0,9232
1.385664,14,9,0,7371
1.728313,15,9,0,7828
1.772233,16,9,0,8100
1.879153,16,10,0,8123
1.935271,16,11,0,8309
1.918715,17,11,0,8892
1.715390,17,12,0,9226
1.862769,16,14,0,9083
1.697389,14,17,0,8753
2.139664,13,19,0,8254
2.041488,12,21,0,7460
2.278497,13,21,0,7714
1.796308,12,23,0,6979
2.273941,13,23,0,7312
2.137328,14,23,0,7618
2.800472,14,24,0,7953
3.269570,15,24,0,8413
2.093074,15,25,0,8626
2.295541,13,28,0,8233
2.964859,16,26,0,9090
2.389857,14,29,0,8164
3.374226,12,32,0,7085
2.362589,13,32,0,7468
2.979836,11,34,0,6739
3.262384,10,36,0,6386
2.618153,11,36,0,6683
1.748069,7,41,0,4881
2.870920,8,41,0,5146
1.773885,11,39,0,7225
3.451125,11,40,0,7643
4.302629,13,39,0,8413
3.378767,14,39,0,9050
3.466203,15,39,0,9283
3.021829,13,42,0,7390
3.776883,16,40,0,10110
3.346947,15,42,0,8395
5.226779,14,44,0,8567
3.218495,16,43,0,9241
4.638006,17,43,0,8826
4.236448,16,45,0,8125
3.996151,15,47,0,7935
3.955512,16,47,0,8265
5.280979,12,52,0,7974
3.862163,14,51,0,8389
4.329105,15,51,0,8622
4.858186,11,56,0,5767
4.551763,13,55,0,6721
3.819239,14,55,0,7079
3.146187,13,57,0,6625
3.557941,17,54,0,9832
4.156996,14,58,0,6837
4.340880,8,64,0,4733
2.604458,7,53,0,4468
2.253425,8,53,0,4774
1.057147,8,54,0,4710
1.090435,7,56,0,4374
0.850310,7,29,0,4098
0.851841,7,30,0,3651
0.600421,8,30,0,4054
0.972567,9,30,0,4427
0.783240,9,14,0,4437
0.696083,10,14,0,4875
0.807511,10,11,0,5066
0.509559,10,12,0,5477
0.758952,10,12,0,5580
0.921722,12,12,0,6657
1.197304,12,12,0,6796
0.820992,13,12,0,7275
1.253450,14,12,0,7737
1.095819,14,11,0,7799
1.192728,15,11,0,8308
1.079919,15,12,0,8447
1.362052,15,13,0,8834
1.130094,16,13,0,9312
1.711658,15,11,0,9135
1.120295,15,11,0,9340
1.142841,16,11,0,9714
1.254361,17,11,0,9967
1.419170,16,13,0,9556
2.488888,10,16,0,6311
1.609072,14,15,0,8745
1.394857,11,16,0,6646
1.830565,11,17,0,6611
1.622638,9,20,0,5450
1.990230,8,22,0,4708
1.748541,9,22,0,5001
2.002252,10,22,0,5294
1.458343,10,23,0,5261
1.396010,11,23,0,5524
1.644640,9,27,0,4430
1.925955,8,29,0,3721
1.733989,9,29,0,4134
1.298220,8,30,0,3737
1.562144,9,30,0,4067
1.758884,10,30,0,4209
2.184192,11,30,0,4583
1.748254,9,29,0,4219
1.658647,9,30,0,4194
1.822501,10,30,0,4739
1.619938,11,30,0,5229
2.563755,11,29,0,5243
1.675350,12,29,0,5447
2.053969,13,29,0,5785
2.333403,14,29,0,6124
2.254150,14,30,0,6255
2.826554,14,33,0,6614
3.045716,16,32,0,6975
2.417519,15,34,0,6808
2.229316,15,35,0,6827
4.052436,15,35,0,6938
2.543215,15,36,0,6992
2.847408,15,37,0,7044
2.758417,16,37,0,7433
2.777036,16,38,0,7590
2.791752,16,39,0,7647
2.561571,16,40,0,7717
2.704344,13,44,0,6838
2.921339,14,44,0,7316
2.865028,9,50,0,5455
2.457940,9,51,0,5386
3.127471,9,52,0,5531
3.364224,8,53,0,4438
2.910338,8,54,0,4527
2.663845,8,51,0,4581
3.254701,10,54,0,5537
3.283126,10,51,0,5368
2.482350,10,51,0,5372
3.197635,12,53,0,6235
2.026234,11,55,0,5917
4.276886,11,55,0,6104
2.094079,7,57,0,5176
14.659167,6,59,0,4283
1.553527,5,51,0,3445
1.160893,6,51,0,3802
1.595273,6,45,0,3570
1.019533,7,45,0,3907
0.862911,8,45,0,4394
0.602050,8,15,0,4356
0.822168,9,15,0,4711
0.382203,10,15,0,5107
0.792185,10,16,0,5187
1.196845,11,16,0,5490
1.250208,12,16,0,5895
0.651386,13,16,0,6232
0.944216,13,15,0,6232
1.204692,14,15,0,6694
0.757638,15,15,0,7124
1.038399,16,15,0,7583
1.229139,15,7,0,7368
1.176861,16,7,0,7735
1.837941,16,8,0,8191
1.255134,16,8,0,8304
1.514725,15,9,0,7599
1.274860,11,13,0,6818
1.535434,6,19,0,4627
1.316339,3,23,0,2354
0.817419,4,23,0,2551
0.497274,4,14,0,2127
0.554430,5,14,0,2384
0.405592,6,14,0,2704
0.393671,6,6,0,2569
0.676648,7,6,0,2816
0.420506,8,6,0,3175
0.565990,9,6,0,3604
0.386365,10,6,0,4065
0.718464,11,6,0,4481
0.784238,12,6,0,4777
0.679350,12,3,0,4834
0.839390,11,5,0,4688
0.602311,9,7,0,4716
1.019104,11,6,0,5067
0.790519,11,7,0,5309
1.264587,8,11,0,3987
0.762322,8,12,0,4158
0.846990,8,13,0,3540
1.017801,10,12,0,4177
1.021482,8,15,0,3626
1.016550,9,15,0,3993
1.322472,9,16,0,4049
0.975899,8,17,0,3720
1.300426,7,19,0,3390
1.359334,6,21,0,3086
1.155101,6,22,0,3019
1.662974,7,22,0,3337
1.529100,7,23,0,3275
1.537776,7,24,0,3296
1.886345,8,24,0,3711
1.710784,8,25,0,3743
1.796845,9,25,0,3888
