#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,33.417844,3.291313,0.000000,5.973694,1.906696,0.040762,40.575244
0.000000,0.000000,13.231995,2.820760,0.000000,1.135252,1.124922,0.293188,25.725118
0.000000,0.000000,12.070448,2.876439,0.000000,1.402904,1.513698,0.226416,18.392352
0.000000,0.000000,13.221292,2.984918,0.000000,1.319996,1.442170,0.036340,19.991824
0.000000,0.000000,10.421654,2.950952,0.000000,1.197499,1.403089,0.275044,16.854117
0.000000,0.000000,10.726282,3.249542,0.000000,1.993280,3.260053,0.074208,17.730534
0.000000,0.000000,22.222850,5.162069,0.000000,1.449796,1.673502,0.057123,34.343749
0.000000,0.000000,13.490679,4.145521,0.000000,1.084759,1.547259,0.293271,21.837996
0.000000,0.000000,11.945997,3.281777,0.000000,1.256179,1.910105,0.040280,18.902706
0.000000,0.000000,11.377341,3.179149,0.000000,1.389724,2.090199,0.045198,18.773767
0.000000,0.000000,11.156085,4.520658,0.000000,0.904906,1.427257,0.287667,20.232095
0.000000,0.000000,12.056553,3.588280,0.000000,1.452027,1.875409,0.034575,19.058252
0.000000,0.000000,14.375302,3.425135,0.000000,1.274568,1.704230,0.035272,22.006020
0.000000,0.000000,10.663688,3.052249,0.000000,1.137071,1.540416,0.040080,17.507974
0.000000,0.000000,10.341394,2.958719,0.000000,1.004030,1.395138,0.036163,16.822749
0.000000,0.000000,10.597477,2.837855,0.000000,0.886546,1.530543,0.280040,16.691864
0.000000,0.000000,10.836431,3.272900,0.000000,1.438743,1.860896,0.034142,17.620364
0.000000,0.000000,10.523614,3.312816,0.000000,1.256236,1.717571,0.036817,18.037362
0.000000,0.000000,9.848417,2.724384,0.000000,1.104786,1.555358,0.032794,16.387840
0.000000,0.000000,9.832013,2.867326,0.000000,1.019216,1.343203,0.032277,16.212747
0.000000,0.000000,9.445816,3.469136,0.000000,0.807949,1.392892,0.044298,16.163106
0.000000,0.000000,10.454230,2.939548,0.000000,0.819184,1.547048,0.042365,16.532308
0.000000,0.000000,10.977155,3.188092,0.000000,0.809603,1.403789,0.282573,17.480545
0.000000,0.000000,11.451237,2.886094,0.000000,1.493358,1.865400,0.042861,17.727132
0.000000,0.000000,10.406288,3.690342,0.000000,1.246810,1.798822,0.035241,18.444321
0.000000,0.000000,10.580951,3.072605,0.000000,1.097187,1.792535,0.040458,17.676051
0.000000,0.000000,10.250107,2.934712,0.000000,1.156792,1.696259,0.042205,16.973360
0.000000,0.000000,10.795612,2.977408,0.000000,1.013033,1.789701,0.047354,17.547141
0.000000,0.000000,10.737076,2.958468,0.000000,1.107741,1.724349,0.052748,17.598115
0.000000,0.000000,9.703878,2.886113,0.000000,1.561151,1.878994,0.049354,16.408848
0.000000,0.000000,10.477123,3.743345,0.000000,0.895129,1.819096,0.045196,18.635433
0.000000,0.000000,10.621085,3.333747,0.000000,0.832023,1.639808,0.049481,17.647106
0.000000,0.000000,11.257302,3.068834,0.000000,0.831935,1.480940,0.033021,17.756175
0.000000,0.000000,9.986249,2.724150,0.000000,0.840086,1.379398,0.031986,15.959339
0.000000,0.000000,9.743885,2.827749,0.000000,0.782700,1.263157,0.323400,15.683314
