#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.012123,3,1,0,3120
0.001533,4,1,0,4066
0.613428,5,1,0,4815
0.703649,6,1,0,5623
0.572559,7,1,0,6179
1.441492,8,1,0,6965
1.134038,9,1,0,7811
0.947934,9,1,0,8442
1.587532,10,1,0,9088
2.258718,11,1,0,9823
1.977262,11,2,0,10343
3.349072,11,3,0,10467
6.670672,12,3,0,11163
3.417672,12,4,0,11092
3.687456,13,4,0,11775
3.364128,14,4,0,12443
3.085161,15,4,0,13043
2.511709,16,4,0,13701
3.414056,16,5,0,13743
2.361032,15,7,0,13117
3.546749,15,8,0,13018
3.166505,15,9,0,13115
4.461980,15,9,0,13228
6.204546,15,10,0,13076
5.947807,16,10,0,13506
8.787952,17,10,0,13894
6.655263,18,10,0,14443
7.576357,19,10,0,15087
5.383875,20,10,0,15561
7.181135,20,11,0,15416
2.800508,20,11,0,15343
8.059697,21,11,0,15767
3.888279,21,12,0,16203
4.440429,21,12,0,15978
7.361458,20,13,0,14498
3.889591,22,13,0,16154
3.622633,23,13,0,16640
2.412390,22,14,0,15282
6.991463,23,14,0,15745
5.597010,16,20,0,11763
7.948233,14,23,0,11007
6.976666,14,23,0,10619
2.329953,15,23,0,10604
4.173582,15,24,0,11011
3.877378,15,25,0,10547
1.644008,15,26,0,10614
6.771185,15,27,0,10805
6.307102,14,27,0,10705
6.376704,12,30,0,9859
4.538385,11,28,0,9414
6.553790,11,23,0,9292
6.992345,11,22,0,9232
2.119383,8,28,0,7807
4.082769,9,25,0,8136
1.225441,8,25,0,7167
1.834591,9,25,0,7545
1.019019,9,24,0,7309
2.402939,10,26,0,7690
4.012125,11,26,0,8084
1.527592,11,27,0,7804
1.841636,12,27,0,8073
3.772172,12,22,0,7704
3.494623,12,27,0,7550
4.053203,13,21,0,7917
1.056909,13,22,0,7908
6.645034,14,22,0,8455
1.450104,13,11,0,8163
2.844196,13,12,0,8184
4.389308,10,15,0,7852
4.879591,9,17,0,7554
5.898324,11,16,0,8075
4.910633,8,19,0,7117
5.273527,10,18,0,8022
1.756891,9,19,0,7149
4.233092,9,18,0,6998
3.182267,9,19,0,6770
2.555941,11,18,0,7655
2.084489,8,19,0,6042
3.498563,9,19,0,6283
0.848953,9,20,0,6021
3.166940,10,20,0,6609
3.282088,9,17,0,6232
2.413820,9,18,0,6356
1.398199,10,18,0,6891
1.190080,10,19,0,7090
3.716682,11,19,0,7394
2.567000,12,19,0,7728
3.888578,12,15,0,7764
4.467538,13,15,0,8072
1.291775,13,16,0,8417
1.349382,12,14,0,7999
2.780351,16,15,0,9347
1.804481,13,15,0,8469
5.675047,13,15,0,8237
3.050567,13,13,0,7972
1.387488,14,13,0,8725
3.493340,15,13,0,9416
3.929171,15,14,0,9660
3.948780,14,16,0,9707
4.007413,15,16,0,10235
3.698937,14,16,0,9995
5.348551,15,16,0,10584
4.801099,15,16,0,11009
4.834366,13,19,0,9829
7.514622,14,19,0,10322
6.771821,14,20,0,10375
2.315525,14,21,0,10518
4.205178,14,20,0,10670
6.178664,14,21,0,10853
6.953979,15,21,0,11308
5.328612,14,23,0,10933
2.121609,15,23,0,11303
3.575853,15,21,0,11347
6.563824,15,19,0,11264
4.024701,16,19,0,11786
4.050312,13,18,0,10015
4.881399,15,18,0,10882
3.384246,16,18,0,11327
4.058184,16,18,0,11328
6.368492,16,19,0,11498
2.520739,16,19,0,11677
4.235222,15,21,0,12139
2.576656,17,20,0,12747
6.609244,15,21,0,11351
2.569684,14,23,0,10804
4.098917,15,23,0,11409
6.636728,17,22,0,12514
6.215519,16,24,0,11999
3.274389,16,25,0,12246
8.962251,16,25,0,12197
3.250374,16,22,0,12255
2.753457,16,23,0,12229
3.555615,16,24,0,12369
3.783247,17,24,0,12884
3.842088,18,24,0,13304
3.657420,19,24,0,13683
7.529191,17,25,0,12577
7.949354,18,25,0,13105
7.881905,15,29,0,11098
5.525778,14,31,0,10611
2.029752,15,31,0,11262
12.622371,16,31,0,11629
6.879659,17,31,0,12222
6.374045,18,31,0,13008
4.131728,17,33,0,12655
7.438750,18,33,0,13226
3.106430,18,34,0,13136
7.486948,19,34,0,13720
3.011536,20,34,0,14386
2.970028,21,34,0,14928
3.363962,22,34,0,15477
10.921522,23,34,0,16108
3.452251,22,36,0,16734
6.731033,25,34,0,17369
3.413096,25,35,0,18008
6.190353,25,36,0,18568
5.785142,22,25,0,15914
3.779865,24,30,0,17333
4.199078,21,28,0,16088
7.886417,18,26,0,14957
4.470712,16,29,0,14061
6.097948,12,32,0,11655
13.264051,10,33,0,10271
1.939250,10,34,0,10075
2.073980,9,36,0,9283
6.239914,10,36,0,9882
9.434753,9,36,0,9068
