#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.007393,3,1,0,2418
0.001552,4,1,0,2542
0.197962,5,1,0,3146
0.272587,6,1,0,3645
0.493042,7,1,0,4084
0.485193,8,1,0,4419
0.799956,9,1,0,4728
0.701817,10,1,0,5213
0.880845,11,1,0,5597
0.813440,12,1,0,6011
1.398049,13,1,0,6504
0.971233,14,1,0,6888
1.501500,15,1,0,7213
1.896284,16,1,0,7244
1.441803,17,1,0,7671
1.719242,17,2,0,8039
1.673516,16,4,0,8251
2.256610,3,1,0,2344
1.844577,4,1,0,2948
0.001574,5,1,0,3463
0.001823,6,1,0,3828
0.098617,7,1,0,4158
0.510119,8,1,0,4650
0.642086,9,1,0,5007
0.529475,10,1,0,5282
0.536521,11,1,0,5657
1.066767,12,1,0,6056
0.622197,13,1,0,6144
0.765150,14,1,0,6537
0.892526,15,1,0,6868
0.933996,16,1,0,7120
0.951084,17,1,0,7526
0.973589,18,1,0,8015
1.652542,19,1,0,8389
1.882638,20,1,0,8591
1.689475,21,1,0,8925
2.208702,22,1,0,9256
1.899931,23,1,0,9643
1.791403,22,3,0,10059
2.490592,24,2,0,10534
2.863348,23,4,0,10672
3.342885,25,3,0,11014
2.283305,23,6,0,10988
3.266263,24,6,0,11360
2.814778,23,8,0,11475
2.850571,24,8,0,11762
2.658406,25,8,0,12096
2.584878,18,16,0,9778
2.663074,13,22,0,8239
2.806386,10,24,0,5934
4.253237,13,23,0,8804
2.170489,13,24,0,8534
1.694708,12,24,0,6828
2.078873,16,23,0,9942
1.774239,17,23,0,10369
2.091955,20,22,0,11158
2.289907,22,21,0,12038
1.868406,22,22,0,12178
2.218862,28,17,0,14721
3.250488,30,16,0,15288
2.636129,33,14,0,15773
4.913464,39,9,0,17652
10.267143,41,8,0,18006
6.066308,43,7,0,18532
4.620543,44,7,0,18755
7.416355,45,7,0,18945
8.325079,46,7,0,19246
7.475771,48,6,0,19648
6.866741,50,5,0,20076
11.511668,52,4,0,20623
8.826936,55,2,0,20994
7.449999,57,1,0,21335
8.721361,55,4,0,21556
8.426366,55,5,0,21761
8.687750,58,3,0,22222
6.736295,60,2,0,22502
8.197085,62,1,0,22854
10.611078,63,1,0,23071
9.726105,64,1,0,23449
10.056609,65,1,0,23799
10.500094,66,1,0,24148
11.923420,65,3,0,24433
9.900248,61,8,0,24119
14.395349,63,7,0,24335
10.014444,62,9,0,24253
10.163825,64,8,0,24694
12.511323,66,7,0,25045
9.913189,67,7,0,25509
10.017527,71,4,0,25850
12.368630,61,15,0,25063
14.392636,44,33,0,22213
12.358066,42,36,0,21755
11.797987,39,40,0,20905
11.077455,26,54,0,17379
9.888144,12,69,0,10586
10.232045,9,72,0,6876
14.629071,9,72,0,6427
7.303289,10,72,0,6766
2.577289,11,72,0,6870
1.415759,12,72,0,7422
1.718818,13,72,0,7754
1.956850,14,72,0,8178
2.539748,16,72,0,9173
1.663767,16,72,0,8783
2.806863,18,72,0,9976
2.296007,19,72,0,10111
2.334318,21,71,0,12484
2.348735,24,70,0,13412
2.350808,22,72,0,10821
3.002903,26,69,0,14127
8.057258,21,74,0,10776
5.700778,20,77,0,13744
3.431787,19,79,0,13242
5.377726,16,83,0,13192
3.730352,10,45,0,6048
7.236524,12,83,0,9200
4.151753,12,84,0,9074
4.763573,12,49,0,6779
1.859633,15,84,0,10957
2.326773,15,84,0,10033
4.035647,18,83,0,12389
1.916194,20,82,0,13196
3.327665,21,87,0,12816
4.182075,25,79,0,12933
3.944054,28,77,0,13843
5.864416,34,72,0,15363
4.331966,36,73,0,16244
7.834544,39,71,0,16676
5.883491,39,70,0,16304
7.209894,40,74,0,17619
10.106515,41,74,0,17746
10.488629,39,74,0,17234
6.930219,41,73,0,17746
8.955104,41,74,0,17851
8.854662,41,75,0,18300
9.614016,42,76,0,18888
7.545978,40,77,0,18280
5.275885,38,43,0,16591
7.115923,38,42,0,16860
9.227278,40,41,0,17454
8.791903,39,40,0,17463
8.359101,36,42,0,16326
8.968348,38,41,0,16891
5.826735,37,45,0,16771
7.359155,38,43,0,18563
9.323040,43,42,0,19077
7.563672,45,42,0,20206
7.399246,51,78,0,22865
8.389650,46,44,0,20117
12.343159,53,75,0,22916
8.395645,47,48,0,19793
20.071292,51,81,0,22054
9.763680,54,40,0,21820
10.783123,63,73,0,25231
7.096403,68,72,0,26921
14.734940,67,74,0,27034
12.585643,65,76,0,26474
16.658158,65,77,0,26453
10.882859,65,75,0,25948
13.934083,66,78,0,26640
10.854394,69,76,0,27963
9.398283,74,73,0,32253
16.336654,86,63,0,37560
9.264275,78,72,0,36263
11.513307,78,73,0,36643
16.998823,78,74,0,36293
20.560133,81,72,0,37380
21.964852,90,64,0,38753
16.798038,87,68,0,37317
18.358402,75,78,0,29232
7.252080,87,70,0,36306
32.182088,75,80,0,29382
15.146952,81,78,0,34129
13.084971,75,82,0,30014
19.609126,62,95,0,27520
12.263553,56,102,0,26234
12.048178,-611603343,58,28900396,48
7.950971,1075683432,30222,1093900667,30222
12.210173,-1696271564,-232272752,1728227823,-226351936
13.543924,1075439874,25551,1095031878,25551
