#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.733783,0.037400,0.355940,0.007393,0.007393,5.141909
3.846208,0.119570,1.253883,0.001552,0.001552,5.223884
4.627805,0.282640,1.708114,0.197962,0.197962,15.788430
3.375171,0.241961,2.003261,0.272587,0.272587,14.409722
4.633343,0.216287,2.511142,0.493042,0.493042,18.828581
4.587541,0.241603,3.634393,0.485193,0.485193,21.235038
4.328784,0.277450,3.072123,0.799956,0.799956,25.299099
4.362069,0.293887,5.843541,0.701817,0.701817,27.117682
5.107705,0.251797,5.014740,0.880845,0.880845,25.216495
4.636577,0.235340,4.585651,0.813440,0.813440,29.061472
4.354069,0.254565,6.646656,1.398049,1.398049,29.361163
4.007313,0.144224,6.889029,0.971233,0.971233,30.935914
4.228984,0.156383,7.044261,1.501500,1.501500,34.322418
4.202842,0.216222,6.198189,1.896284,1.896284,38.282399
4.207032,0.265704,6.319192,1.441803,1.441803,39.694586
4.716099,0.415302,5.580616,1.719242,1.719242,43.618307
4.772386,0.300509,5.483594,1.673516,1.673516,50.749805
4.645184,0.391005,5.831882,2.256610,2.256610,49.768009
3.912213,0.333837,5.185519,1.844577,1.844577,46.162973
2.989431,0.386771,0.319246,0.001574,0.001574,3.697913
3.666550,0.419872,1.489819,0.001823,0.001823,5.580649
3.585150,0.303809,1.227535,0.098617,0.098617,12.672264
3.747439,0.283888,1.764545,0.510119,0.510119,17.154022
3.915644,0.282704,2.684949,0.642086,0.642086,22.893344
4.867444,0.482577,3.662728,0.529475,0.529475,24.965899
3.550824,0.246141,3.067563,0.536521,0.536521,22.400531
3.955778,0.270220,3.535397,1.066767,1.066767,25.666705
3.360613,0.264075,3.264146,0.622197,0.622197,23.886202
2.597231,0.282846,3.678524,0.765150,0.765150,25.402598
3.249750,0.296003,5.923942,0.892526,0.892526,32.842120
2.736429,0.232831,4.163565,0.933996,0.933996,28.772797
2.962715,0.255488,4.808517,0.951084,0.951084,30.541652
4.051423,0.312635,5.551305,0.973589,0.973589,33.730327
3.997130,0.259429,7.273488,1.652542,1.652542,39.453645
4.817191,0.347234,7.593125,1.882638,1.882638,41.367788
4.622534,0.360760,6.679365,1.689475,1.689475,44.129701
4.692758,0.226210,7.742484,2.208702,2.208702,47.491025
4.504958,0.324468,7.307523,1.899931,1.899931,45.597032
3.946312,0.258973,8.364812,1.791403,1.791403,47.090565
4.559344,0.374862,8.743401,2.490592,2.490592,49.257774
4.193279,0.214995,8.471766,2.863348,2.863348,48.602672
4.345037,0.180277,8.375059,3.342885,3.342885,55.497911
5.890515,0.343748,8.550116,2.283305,2.283305,67.130776
4.105366,0.245131,8.745015,3.266263,3.266263,66.190354
5.151028,0.454459,9.376246,2.814778,2.814778,68.707532
4.846904,0.265866,8.942087,2.850571,2.850571,76.262606
5.067352,0.285017,9.715976,2.658406,2.658406,75.815575
5.083589,0.316337,9.238785,2.584878,2.584878,71.594426
4.167593,0.231550,8.779886,2.663074,2.663074,67.103821
3.744877,0.251623,9.472725,2.806386,2.806386,65.406411
3.724652,0.232082,8.715324,4.253237,4.253237,76.407041
3.675322,0.469419,9.664650,2.170489,2.170489,57.032110
3.593195,0.252036,7.237294,1.694708,1.694708,43.182791
4.194852,0.587100,7.468964,2.078873,2.078873,37.402791
3.683746,0.215331,7.584527,1.774239,1.774239,47.854326
3.596646,0.357178,6.645396,2.091955,2.091955,44.532512
5.229332,0.319355,9.327273,2.289907,2.289907,48.206476
3.860951,0.274855,7.086274,1.868406,1.868406,55.267251
4.366433,0.267398,8.690657,2.218862,2.218862,60.931555
4.523597,0.219272,8.346563,3.250488,3.250488,62.259195
4.257687,0.177520,11.734555,2.636129,2.636129,80.559550
4.326147,0.197886,8.429221,4.913464,4.913464,69.292852
4.511775,0.179007,10.833225,10.267143,10.267143,99.978227
4.516976,0.144299,9.511219,6.066308,6.066308,105.912480
4.510669,0.195996,9.900727,4.620543,4.620543,113.078657
4.473551,0.130914,9.088861,7.416355,7.416355,131.926755
5.577638,0.211445,11.983312,8.325079,8.325079,137.456486
5.980913,0.174675,12.076375,7.475771,7.475771,154.867585
5.908014,0.179658,13.288285,6.866741,6.866741,190.740140
5.792170,0.205626,17.736915,11.511668,11.511668,172.400156
6.628374,0.173220,15.820184,8.826936,8.826936,163.390875
6.893342,0.210131,19.365698,7.449999,7.449999,190.594399
6.418774,0.197180,17.287520,8.721361,8.721361,176.731084
5.728803,0.141401,21.726527,8.426366,8.426366,177.490385
6.321938,0.155948,16.221015,8.687750,8.687750,176.377903
6.962125,0.163808,16.140418,6.736295,6.736295,193.099819
6.199621,0.155351,14.415271,8.197085,8.197085,187.099266
9.177994,0.452006,18.325226,10.611078,10.611078,210.758223
7.657415,0.197343,14.712196,9.726105,9.726105,184.836467
6.567276,0.201576,15.519676,10.056609,10.056609,210.789167
5.993876,0.124759,15.777454,10.500094,10.500094,197.054577
7.270124,0.227208,16.729135,11.923420,11.923420,236.915653
6.756791,0.198309,15.449273,9.900248,9.900248,236.214086
7.489026,0.169290,15.716801,14.395349,14.395349,265.816671
7.457511,0.249366,14.943790,10.014444,10.014444,246.981468
6.996158,0.305188,17.358074,10.163825,10.163825,239.943982
