#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,95.425436,0.000000,0.000000,4.811534,1.698246,0.042523,98.647658
0.000000,0.000000,17.887658,0.000000,0.000000,0.877436,1.117270,0.441649,26.368924
0.000000,0.000000,14.818401,0.000000,0.000000,1.907618,1.825621,0.292421,18.092601
0.000000,0.000000,15.166644,0.000000,0.000000,1.995042,1.808545,0.335009,20.412467
0.000000,0.000000,20.397737,0.000000,0.000000,1.621494,1.998321,0.337006,25.810430
0.000000,0.000000,13.771035,0.000000,0.000000,2.163051,2.027567,0.060544,19.323884
0.000000,0.000000,15.488541,0.000000,0.000000,1.729696,2.002478,0.043641,21.294149
0.000000,0.000000,15.228222,0.000000,0.000000,1.256597,1.760115,0.386771,20.079392
0.000000,0.000000,14.529119,0.000000,0.000000,2.125924,2.172931,0.116541,19.222235
0.000000,0.000000,13.933323,0.000000,0.000000,1.506723,2.220371,0.100365,19.398126
0.000000,0.000000,15.085402,0.000000,0.000000,1.298817,2.277887,0.084819,20.252464
0.000000,0.000000,15.142013,0.000000,0.000000,1.551448,1.863731,0.088847,20.163202
0.000000,0.000000,14.602248,0.000000,0.000000,1.013572,1.663859,0.388520,19.241857
0.000000,0.000000,15.075937,0.000000,0.000000,2.158417,2.192917,0.047311,19.487775
0.000000,0.000000,14.233517,0.000000,0.000000,1.197138,2.052329,0.056028,19.668824
0.000000,0.000000,13.980073,0.000000,0.000000,0.864017,2.229502,0.031862,18.641968
0.000000,0.000000,14.758542,0.000000,0.000000,0.808641,2.318989,0.031591,19.113218
0.000000,0.000000,13.874266,0.000000,0.000000,0.980895,2.204685,0.292735,18.468591
0.000000,0.000000,13.853140,0.000000,0.000000,2.421536,2.899071,0.051957,18.717045
0.000000,0.000000,15.062589,0.000000,0.000000,1.519869,2.804258,0.044673,21.750222
0.000000,0.000000,14.550918,0.000000,0.000000,1.354947,2.299687,0.031038,20.134357
0.000000,0.000000,14.803872,0.000000,0.000000,1.115196,2.391627,0.046758,19.868218
0.000000,0.000000,14.896690,0.000000,0.000000,1.240334,2.395036,0.348482,19.850886
0.000000,0.000000,15.271386,0.000000,0.000000,2.015060,2.337347,0.036791,20.468520
0.000000,0.000000,14.253231,0.000000,0.000000,1.479375,2.394689,0.030669,20.103981
0.000000,0.000000,14.484760,0.000000,0.000000,0.958705,2.142870,0.284909,19.467931
0.000000,0.000000,13.963089,0.000000,0.000000,1.035708,2.353447,0.275583,18.477915
