#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.006480,3,1,0,2368
0.001532,4,1,0,2332
0.240346,5,1,0,2769
0.400833,6,1,0,3237
0.608887,7,1,0,3508
0.682562,8,1,0,3615
1.357399,9,1,0,3926
1.107542,10,1,0,4422
0.950096,11,1,0,5023
1.354191,12,1,0,5350
1.499072,13,1,0,5672
1.635568,14,1,0,5732
2.382822,15,1,0,6205
2.059456,16,1,0,6419
1.587097,17,1,0,6672
1.881302,12,7,0,6179
1.950635,7,12,0,4878
3.464719,7,13,0,4504
1.997816,8,13,0,4583
1.624415,5,17,0,2404
2.258077,5,12,0,2277
0.568098,4,7,0,1962
0.661049,5,7,0,2573
0.616051,6,7,0,2584
0.717278,6,7,0,2885
1.465697,7,7,0,2982
0.952873,10,7,0,3832
0.901218,10,7,0,3791
1.480437,12,7,0,4560
3.029577,12,7,0,4726
1.687234,14,7,0,5277
2.313123,15,7,0,5607
1.782874,16,7,0,5832
2.111740,19,17,0,7092
3.409426,21,16,0,7905
3.984081,28,11,0,11676
4.010906,27,12,0,10695
5.803909,25,16,0,11827
11.829301,25,16,0,11231
6.230730,14,28,0,6735
5.625082,14,29,0,6296
3.385136,15,29,0,6693
3.921670,14,31,0,7079
5.966369,14,32,0,7114
3.305631,16,31,0,7701
2.626915,16,32,0,7863
3.298577,11,38,0,6850
4.789703,10,40,0,5182
3.805938,10,30,0,5223
10.990257,11,30,0,5581
2.888696,11,29,0,5461
2.616864,13,30,0,5921
2.143964,14,30,0,6146
4.239323,14,29,0,6225
6.716753,16,30,0,6671
3.739008,17,30,0,7080
5.705679,18,30,0,7372
4.929450,19,30,0,7781
8.605562,21,40,0,8591
5.209602,22,40,0,8914
4.422231,23,40,0,9266
4.809564,27,37,0,10539
9.179862,26,39,0,10031
5.857284,26,40,0,10291
19.172974,29,38,0,11321
3.613601,23,45,0,11166
4.800174,20,49,0,9867
7.362231,20,50,0,9959
12.150380,8,60,0,4710
7.577867,6,34,0,3476
3.582301,7,60,0,3839
4.878393,7,37,0,3604
10.241581,15,60,0,7695
6.149902,17,59,0,8853
6.204147,25,52,0,11446
14.864108,32,46,0,13731
11.086294,36,43,0,13857
20.522386,37,43,0,14045
9.641478,40,34,0,13882
13.789464,43,39,0,14532
17.080512,46,37,0,15659
14.721585,49,35,0,16985
15.194054,52,33,0,17781
15.175384,52,34,0,17973
11.317536,55,32,0,20169
17.745351,55,33,0,22915
16.659656,53,36,0,20539
4.343964,54,36,0,18268
15.819582,63,29,0,19794
10.568151,64,29,0,18467
0.000000,66,28,0,19309
5.260856,58,37,0,18485
3.356041,27,70,0,12663
4.240180,22,65,0,9026
8.126351,22,64,0,8737
0.000000,24,65,0,9170
2.838353,24,64,0,9345
8.463446,26,65,0,10109
5.481842,31,72,0,11072
6.053920,44,60,0,15666
7.472660,47,58,0,15360
10.789941,47,59,0,15829
8.966079,68,41,0,23163
8.883654,50,61,0,20671
8.588508,43,69,0,17270
2.977161,37,74,0,15288
0.000000,45,69,0,17581
6.003234,61,54,0,21564
0.000000,62,54,0,20223
3.030548,49,67,0,16692
4.345845,47,70,0,15950
15.321594,46,72,0,15811
24.015239,47,72,0,15575
29.655504,50,70,0,16684
22.722690,44,77,0,15874
13.814823,43,79,0,15481
22.812818,47,76,0,16687
35.503613,50,74,0,17028
16.888132,51,74,0,17447
25.576023,64,62,0,21483
19.487042,76,51,0,24245
18.240217,63,65,0,20007
16.373584,60,69,0,18996
33.362832,65,65,0,20613
20.812809,70,61,0,22614
20.527444,76,56,0,26164
22.945853,78,55,0,24735
22.721818,66,68,0,21059
15.616444,55,80,0,17427
16.302487,52,83,0,17155
9.410847,-250649088,-250645120,-250666304,-246915584
33.471487,32029,32029,32029,32029
15.468442,38,37,36,39
36.750381,0,0,0,0
15.646796,-250648704,-250644736,-250665536,-246916416
20.873843,32029,32029,32029,32029
