#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.253983,0.040006,0.366690,0.006480,0.006480,4.673727
0.768625,0.080971,1.488479,0.001532,0.001532,2.343134
3.893390,0.292512,1.900380,0.240346,0.240346,21.552277
6.109080,0.690761,6.404783,0.400833,0.400833,48.473457
4.924038,0.413154,5.166842,0.608887,0.608887,38.816384
6.841819,0.413662,7.070388,0.682562,0.682562,60.772944
5.804506,0.592807,6.597364,1.357399,1.357399,49.024882
4.524807,0.370933,5.500788,1.107542,1.107542,32.336243
4.332796,0.234284,5.002243,0.950096,0.950096,41.227112
7.879125,0.488494,12.781044,1.354191,1.354191,60.730222
5.536333,0.247069,7.072511,1.499072,1.499072,46.166704
4.895469,0.357697,8.072449,1.635568,1.635568,55.252919
5.935929,0.436485,8.119470,2.382822,2.382822,52.630336
5.160064,0.433201,7.238189,2.059456,2.059456,53.085625
4.978031,0.243233,8.887003,1.587097,1.587097,63.812668
7.361426,0.828689,11.093850,1.881302,1.881302,72.992549
4.663448,0.271490,7.559429,1.950635,1.950635,68.197758
4.400699,0.285388,6.167734,3.464719,3.464719,54.658948
2.156396,1.023463,6.133450,1.997816,1.997816,42.326441
5.366157,0.825173,6.150684,1.624415,1.624415,42.667697
3.801421,0.578722,5.433053,2.258077,2.258077,43.885107
3.965280,0.443330,5.140799,0.568098,0.568098,23.514833
4.595969,0.589368,4.451405,0.661049,0.661049,23.411426
6.152701,0.620679,3.436670,0.616051,0.616051,22.259719
4.730069,0.320060,4.164121,0.717278,0.717278,24.226401
6.960828,0.803473,8.879421,1.465697,1.465697,33.717487
4.495665,0.467752,5.806311,0.952873,0.952873,25.710784
5.637768,0.618585,11.026583,0.901218,0.901218,35.221233
4.664957,0.293786,6.773721,1.480437,1.480437,34.776360
5.884538,0.609493,7.817099,3.029577,3.029577,38.969687
5.011159,0.280759,11.682760,1.687234,1.687234,62.516876
5.052322,0.357035,9.166765,2.313123,2.313123,60.496997
5.019822,0.324810,8.668213,1.782874,1.782874,55.439539
5.170776,0.335798,8.867276,2.111740,2.111740,53.797667
5.765082,0.547224,9.576356,3.409426,3.409426,62.760342
5.906437,0.280848,12.508881,3.984081,3.984081,82.389620
4.852562,0.354214,12.260017,4.010906,4.010906,103.228997
5.173917,0.387939,12.949411,5.803909,5.803909,130.647089
4.859428,0.334542,12.748565,11.829301,11.829301,158.536541
4.889433,0.426247,14.547453,6.230730,6.230730,140.899337
5.631031,0.479523,14.033994,5.625082,5.625082,161.442416
5.189533,0.419426,11.030637,3.385136,3.385136,75.410279
4.652085,0.689174,13.216417,3.921670,3.921670,71.792590
4.615947,0.358876,17.877065,5.966369,5.966369,91.990662
10.389903,0.608820,20.029183,3.305631,3.305631,90.614869
6.426858,0.658205,20.794758,2.626915,2.626915,105.746181
5.638125,0.382714,9.682024,3.298577,3.298577,109.953628
5.118211,0.429101,10.360365,4.789703,4.789703,77.170631
5.010950,0.387817,10.613449,3.805938,3.805938,74.928762
6.180573,0.447429,8.878309,10.990257,10.990257,105.729561
3.972179,0.433555,7.388174,2.888696,2.888696,46.883286
4.816610,0.410036,10.644876,2.616864,2.616864,67.815621
3.688763,0.524797,7.605640,2.143964,2.143964,39.427431
4.938057,0.369324,9.537087,4.239323,4.239323,83.005005
4.975881,0.353530,9.764355,6.716753,6.716753,105.374899
4.566732,0.529172,14.256429,3.739008,3.739008,60.356814
5.841308,0.580023,14.695627,5.705679,5.705679,79.627229
5.498617,0.381205,10.740246,4.929450,4.929450,81.177423
5.369727,0.339546,14.301233,8.605562,8.605562,102.585476
5.737066,0.808501,22.790422,5.209602,5.209602,99.456257
5.656470,0.358623,10.483546,4.422231,4.422231,95.610202
5.790942,0.488527,16.173222,4.809564,4.809564,128.560928
5.859283,0.438415,13.759861,9.179862,9.179862,134.533582
7.441882,0.490279,13.376573,5.857284,5.857284,144.365206
5.473875,0.300101,11.568859,19.172974,19.172974,131.820808
9.947993,0.341739,12.739639,3.613601,3.613601,103.209528
5.398678,0.552250,23.999424,4.800174,4.800174,138.612352
6.064114,0.522031,11.900149,7.362231,7.362231,137.141527
5.602401,0.384026,10.581059,12.150380,12.150380,132.391674
5.575567,0.509809,9.166816,7.577867,7.577867,116.253468
5.896563,0.518989,10.717256,3.582301,3.582301,55.443044
4.840301,0.692095,9.855903,4.878393,4.878393,45.394473
5.001956,0.489486,7.869979,10.241581,10.241581,69.887121
4.372891,0.322297,13.356229,6.149902,6.149902,64.832626
4.396740,0.418279,15.400311,6.204147,6.204147,112.664904
4.793308,0.259092,13.319782,14.864108,14.864108,124.076009
7.179337,0.541493,19.300137,11.086294,11.086294,199.732651
