#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,23.671033,0.000000,0.000000,4.864096,2.048887,0.450637,274.000289
0.000000,0.000000,6.319403,0.000000,0.000000,1.892478,1.963971,0.418775,26.868097
0.000000,0.000000,5.817829,0.000000,0.000000,2.609594,2.102702,0.073962,11.599233
0.000000,0.000000,10.151962,0.000000,0.000000,1.979455,4.867884,0.106021,16.110400
0.000000,0.000000,8.676316,0.000000,0.000000,1.254231,2.891429,0.090218,29.469825
0.000000,0.000000,8.390120,0.000000,0.000000,2.471616,2.047961,0.736918,14.627956
0.000000,0.000000,12.752750,0.000000,0.000000,3.729453,3.423445,0.130863,19.639533
0.000000,0.000000,9.545410,0.000000,0.000000,2.236719,2.185701,0.070600,18.631742
0.000000,0.000000,8.715882,0.000000,0.000000,1.511383,2.578335,0.071967,14.559996
0.000000,0.000000,5.939291,0.000000,0.000000,1.451870,5.567660,0.587142,11.254133
0.000000,0.000000,7.425562,0.000000,0.000000,3.275907,3.487884,0.085545,16.566777
0.000000,0.000000,9.270935,0.000000,0.000000,2.057373,2.586457,0.068936,17.861761
0.000000,0.000000,9.463105,0.000000,0.000000,1.736905,3.083217,0.691830,15.771167
0.000000,0.000000,7.231775,0.000000,0.000000,4.384275,3.949244,0.088134,14.276006
0.000000,0.000000,11.727649,0.000000,0.000000,1.398231,4.839408,0.132519,22.277888
0.000000,0.000000,7.526321,0.000000,0.000000,1.545119,3.077656,0.721962,16.269364
0.000000,0.000000,11.672407,0.000000,0.000000,2.242966,3.107650,0.073554,19.273545
0.000000,0.000000,7.267802,0.000000,0.000000,8.575331,6.357985,0.115422,14.439734
0.000000,0.000000,7.726726,0.000000,0.000000,1.546463,4.722396,0.079054,24.733549
0.000000,0.000000,6.273733,0.000000,0.000000,1.347325,3.153629,0.547787,14.306534
0.000000,0.000000,6.255074,0.000000,0.000000,2.735852,3.799150,0.086801,12.852273
0.000000,0.000000,7.193527,0.000000,0.000000,3.052513,3.092739,0.060704,15.715357
0.000000,0.000000,8.679843,0.000000,0.000000,2.696566,5.075637,0.145874,16.392155
0.000000,0.000000,12.443474,0.000000,0.000000,1.790611,2.495931,0.050719,24.407320
0.000000,0.000000,7.425491,0.000000,0.000000,1.922410,2.678757,0.382064,13.209353
0.000000,0.000000,11.788616,0.000000,0.000000,1.629572,4.019822,0.050146,18.148060
0.000000,0.000000,6.347122,0.000000,0.000000,0.894209,2.906974,0.055160,13.639515
0.000000,0.000000,7.398441,0.000000,0.000000,1.582793,2.774915,0.043224,12.994751
0.000000,0.000000,5.813305,0.000000,0.000000,1.640262,3.276943,0.551434,11.551302
