#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.005260,3,1,0,2033
0.001423,4,1,0,2456
0.469661,5,1,0,2968
0.399870,6,1,0,3500
0.460334,7,1,0,4002
0.544332,8,1,0,4374
0.662944,9,1,0,4765
0.573907,10,1,0,5179
0.957612,11,1,0,5706
0.990425,12,1,0,6122
0.991468,13,1,0,6381
0.948265,14,1,0,6768
0.990961,15,1,0,7133
1.391402,16,1,0,7439
1.798857,17,1,0,7717
1.603588,18,1,0,7954
2.269041,19,1,0,8435
1.966263,20,1,0,8882
1.993740,21,1,0,9308
1.975686,22,1,0,9759
1.992560,23,1,0,10168
2.485121,24,1,0,10641
2.333231,25,1,0,11140
2.484551,26,1,0,11552
5.358531,27,1,0,11959
4.095752,28,1,0,12429
2.675906,29,1,0,12847
4.177560,30,1,0,13167
5.461132,31,1,0,13490
5.291970,32,1,0,13864
3.633382,33,1,0,14148
6.981762,34,1,0,14436
4.076621,35,1,0,14693
5.446390,36,1,0,15043
6.373504,37,1,0,15488
7.036999,38,1,0,15986
5.295126,39,1,0,16323
5.585003,40,1,0,16766
6.614660,40,2,0,17164
5.193829,42,1,0,17591
5.353614,43,1,0,17934
6.213977,36,8,0,17516
5.333211,41,5,0,18683
4.509737,38,8,0,18430
4.903643,44,3,0,19566
4.719797,36,12,0,18146
7.263773,36,13,0,18241
4.684752,32,18,0,17671
6.368868,37,14,0,18603
4.751347,37,15,0,18746
5.200750,39,14,0,19398
4.479255,40,14,0,19714
6.464392,40,15,0,19802
5.760371,41,15,0,20080
8.609255,41,16,0,20269
8.090137,41,17,0,20464
5.849863,42,17,0,20908
8.008114,43,17,0,21269
6.365797,44,17,0,21651
9.440915,45,17,0,22329
5.874107,44,19,0,22275
6.327316,43,21,0,21805
5.750375,41,24,0,21495
6.568727,37,29,0,19342
5.811153,35,32,0,18635
9.694039,35,33,0,19257
4.700425,33,36,0,18677
7.213429,32,38,0,18567
7.498202,33,38,0,18964
7.891153,34,38,0,19436
5.968606,35,38,0,19862
7.024697,37,37,0,20624
7.557918,43,32,0,21977
5.969829,45,31,0,22450
5.190366,43,34,0,22080
5.466282,48,30,0,23903
9.714484,41,38,0,20924
9.854171,41,39,0,20949
5.037797,44,37,0,22352
7.481698,43,39,0,21948
6.115111,38,45,0,21954
5.249781,40,44,0,22345
7.733031,38,47,0,22457
6.313856,45,41,0,23010
4.878781,45,42,0,22380
11.155831,47,41,0,23019
7.630513,48,41,0,23263
9.745746,46,44,0,23020
7.381564,49,42,0,24006
5.508988,41,51,0,21561
8.124242,47,46,0,24133
5.174838,40,54,0,22604
7.638883,23,69,0,16921
8.431473,22,67,0,15266
7.286132,25,67,0,17812
2.976383,20,62,0,12372
7.300667,19,64,0,12309
5.944650,18,61,0,11595
9.970879,25,69,0,15514
3.286328,27,68,0,16055
3.191106,30,66,0,17571
5.664288,29,68,0,16900
6.819616,32,66,0,18773
6.174927,35,64,0,19264
6.682572,40,60,0,20497
13.239578,39,62,0,20619
11.445307,38,64,0,20339
10.171578,35,68,0,19153
6.487098,33,62,0,17480
6.022147,29,62,0,16174
7.753197,26,66,0,15337
7.660526,28,65,0,16304
8.860612,24,62,0,14148
5.763850,23,59,0,13299
8.616549,25,59,0,14659
6.425619,26,63,0,14670
7.233731,27,63,0,15038
5.121850,27,62,0,15347
5.265052,28,59,0,15231
5.964632,26,54,0,14314
9.093202,34,68,0,19011
7.969015,28,62,0,16346
6.667165,31,69,0,18173
13.307866,28,55,0,14916
6.739936,32,64,0,17387
8.829155,33,57,0,16818
6.625261,34,57,0,17177
8.290200,36,58,0,17946
41.656592,37,58,0,18198
15.046495,36,57,0,18316
16.454322,36,55,0,17968
20.945033,36,55,0,17846
17.538306,37,55,0,18213
20.995706,37,56,0,18569
22.202820,36,58,0,18496
16.886004,40,55,0,19363
26.946147,39,57,0,19544
19.052412,35,62,0,18700
29.632970,36,62,0,18916
13.506454,34,62,0,18047
14.923869,34,53,0,17235
17.576972,37,64,0,19317
15.923271,38,59,0,19010
19.125011,38,60,0,18779
20.526258,39,62,0,19860
18.235040,45,60,0,22025
23.925301,41,60,0,19857
29.316034,43,59,0,21227
12.791121,42,61,0,20422
16.732182,42,52,0,20381
18.487040,45,65,0,22873
22.951119,43,63,0,21857
23.831159,46,60,0,22557
29.069057,40,53,0,19407
18.624808,44,50,0,20649
21.025474,44,56,0,21693
17.937013,49,62,0,23494
24.347349,46,51,0,21421
25.943685,50,63,0,24389
25.686211,44,70,0,23577
14.768480,46,69,0,23767
22.527119,50,66,0,24312
23.548191,48,54,0,21844
29.191465,49,69,0,23755
15.573454,46,55,0,21567
14.358780,50,55,0,22442
24.414036,52,54,0,23140
17.934210,56,51,0,24533
39.418704,57,51,0,24791
28.737294,55,54,0,24033
27.312782,57,66,0,26223
15.840007,58,53,0,25227
32.354691,58,54,0,25041
17.326951,62,51,0,26584
24.630449,59,55,0,25153
21.406397,58,57,0,26044
