#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
3.008436,0.033414,0.288002,0.005260,0.005260,3.340322
3.334114,0.176821,1.163312,0.001423,0.001423,4.678195
4.963163,0.251281,1.705800,0.469661,0.469661,16.267437
5.222244,0.383790,2.938023,0.399870,0.399870,18.128137
4.110181,0.142387,2.332426,0.460334,0.460334,17.738559
3.999104,0.111339,3.025246,0.544332,0.544332,19.734038
3.462487,0.100609,3.205084,0.662944,0.662944,21.210188
6.063047,0.244088,5.661453,0.573907,0.573907,26.587278
4.672128,0.131862,5.068246,0.957612,0.957612,27.923067
4.652134,0.150157,5.943191,0.990425,0.990425,32.337043
4.522977,0.146521,4.696488,0.991468,0.991468,31.310807
4.438157,0.214881,6.404982,0.948265,0.948265,33.305232
4.503160,0.302861,6.622270,0.990961,0.990961,34.505460
4.943936,0.194973,6.586838,1.391402,1.391402,36.892192
4.295277,0.194071,7.391820,1.798857,1.798857,40.668072
4.201598,0.171108,7.223109,1.603588,1.603588,41.395136
4.919452,0.170747,9.197677,2.269041,2.269041,45.062714
4.640369,0.125730,8.298659,1.966263,1.966263,49.102725
4.357915,0.085111,8.802504,1.993740,1.993740,47.819383
4.649747,0.116870,8.511422,1.975686,1.975686,49.354816
4.281565,0.117424,10.261317,1.992560,1.992560,55.484991
5.063380,0.128977,10.004969,2.485121,2.485121,59.641581
5.301087,0.140018,9.860936,2.333231,2.333231,61.970218
5.304813,0.216304,11.375863,2.484551,2.484551,65.958162
6.397153,0.178462,12.449018,5.358531,5.358531,91.715517
5.193772,0.198033,10.997175,4.095752,4.095752,74.049826
6.848387,0.273956,14.924406,2.675906,2.675906,76.663100
4.871147,0.177274,11.668265,4.177560,4.177560,77.087585
5.649055,0.199527,11.874486,5.461132,5.461132,106.430491
5.450383,0.184072,10.719129,5.291970,5.291970,86.406781
6.753534,0.177559,11.731076,3.633382,3.633382,102.112749
5.771410,0.155557,10.669749,6.981762,6.981762,94.639119
5.874517,0.151350,11.516509,4.076621,4.076621,103.180160
5.445227,0.137253,10.636567,5.446390,5.446390,99.765923
4.715471,0.109236,12.026772,6.373504,6.373504,127.576594
4.797937,0.096872,12.624581,7.036999,7.036999,119.080606
4.746743,0.104216,10.067545,5.295126,5.295126,117.284095
4.887398,0.124976,10.995055,5.585003,5.585003,126.551166
4.922653,0.155727,10.740096,6.614660,6.614660,138.158351
6.210498,0.146680,10.783413,5.193829,5.193829,125.018142
6.149197,0.174914,10.689315,5.353614,5.353614,133.212088
5.465468,0.206755,11.626195,6.213977,6.213977,144.701168
5.558637,0.229669,11.684348,5.333211,5.333211,132.193264
4.716597,0.188897,12.279752,4.509737,4.509737,117.614288
5.467697,0.168067,12.130412,4.903643,4.903643,136.949878
5.073873,0.223446,14.538664,4.719797,4.719797,136.845754
5.925349,0.186335,12.031252,7.263773,7.263773,143.117005
5.223150,0.181366,12.160818,4.684752,4.684752,130.384247
4.705292,0.212806,11.515671,6.368868,6.368868,130.179513
4.945285,0.212816,12.016521,4.751347,4.751347,137.343438
5.380517,0.292923,13.573036,5.200750,5.200750,139.737216
5.912228,0.294562,12.311656,4.479255,4.479255,139.886799
5.229066,0.189963,12.792013,6.464392,6.464392,139.909312
