#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,27.778083,0.000000,0.000000,4.653015,2.200685,0.043243,32.905504
0.000000,0.000000,18.527473,0.000000,0.000000,1.916170,1.761414,0.037341,26.650133
0.000000,0.000000,22.377520,0.000000,0.000000,1.711127,1.704480,0.037011,27.018780
0.000000,0.000000,18.357423,0.000000,0.000000,1.744892,1.504602,0.038133,22.831949
0.000000,0.000000,17.567557,0.000000,0.000000,2.270208,2.329251,0.039446,21.600132
0.000000,0.000000,18.417365,0.000000,0.000000,1.961026,1.885421,0.039296,23.968467
0.000000,0.000000,18.859201,0.000000,0.000000,1.721527,1.935046,0.055006,23.589892
0.000000,0.000000,20.369315,0.000000,0.000000,1.648297,1.902835,0.040698,25.206859
0.000000,0.000000,19.243908,0.000000,0.000000,2.760528,6.231528,0.113090,23.665327
0.000000,0.000000,20.247757,0.000000,0.000000,1.734291,1.982618,0.042071,31.939697
0.000000,0.000000,18.640679,0.000000,0.000000,2.845552,3.060673,0.104440,23.263023
0.000000,0.000000,22.213604,0.000000,0.000000,2.101235,1.891504,0.041740,29.408286
0.000000,0.000000,25.309363,0.000000,0.000000,2.004992,1.682095,0.041157,30.416675
0.000000,0.000000,19.133830,0.000000,0.000000,2.207551,3.435535,0.046697,23.805771
0.000000,0.000000,21.580199,0.000000,0.000000,1.495585,1.919360,0.281428,28.384533
0.000000,0.000000,19.244538,0.000000,0.000000,2.220866,2.231696,0.267301,23.849726
0.000000,0.000000,20.933497,0.000000,0.000000,2.436421,2.600729,0.056777,26.926908
0.000000,0.000000,19.199143,0.000000,0.000000,1.696753,2.143531,0.074169,25.385940
0.000000,0.000000,19.763207,0.000000,0.000000,1.646919,2.775486,0.081032,24.790578
0.000000,0.000000,21.097832,0.000000,0.000000,1.731588,1.884836,0.272121,26.938959
0.000000,0.000000,20.460880,0.000000,0.000000,1.943666,1.688979,0.028132,25.310318
0.000000,0.000000,20.752632,0.000000,0.000000,1.543876,1.744543,0.033973,25.290927
0.000000,0.000000,17.287482,0.000000,0.000000,1.553365,1.749372,0.036148,21.485157
0.000000,0.000000,17.829820,0.000000,0.000000,1.333662,1.865500,0.242044,22.102946
