#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.005609,3,1,0,1897
0.001152,4,1,0,2310
0.153296,5,1,0,2701
0.233945,6,1,0,2875
0.286492,7,1,0,3372
0.208811,8,1,0,3741
0.621886,9,1,0,4162
0.349848,10,1,0,4485
0.561039,11,1,0,4908
0.586218,12,1,0,5174
0.738643,13,1,0,5528
1.151759,14,1,0,5772
0.948025,15,1,0,6041
1.138777,16,1,0,6408
1.138060,17,1,0,6671
1.201143,18,1,0,6917
2.167233,19,1,0,7276
1.467891,20,1,0,7667
1.507138,21,1,0,8070
1.354853,22,1,0,8485
2.146275,23,1,0,8953
1.900260,24,1,0,9378
2.249615,25,1,0,9761
4.509403,26,1,0,10064
2.389883,27,1,0,10413
2.671276,28,1,0,10698
2.471035,29,1,0,11039
3.052792,30,1,0,11341
2.842711,31,1,0,11715
3.119372,32,1,0,12153
3.169883,33,1,0,12388
3.401835,34,1,0,12632
3.593163,35,1,0,12944
3.734546,36,1,0,13361
3.587517,37,1,0,13706
3.787938,38,1,0,14076
4.637682,39,1,0,14589
4.724345,40,1,0,14957
6.951695,41,1,0,15289
5.120120,42,1,0,15653
4.667635,43,1,0,16069
4.569252,44,1,0,16345
4.286677,44,2,0,16746
4.776453,46,1,0,17047
5.330990,46,2,0,17453
5.563932,36,12,0,16794
4.567823,41,8,0,17929
6.060939,44,6,0,18346
5.768820,45,6,0,18620
6.176352,39,13,0,17380
5.850850,40,13,0,17659
5.714727,44,10,0,18997
10.002150,41,14,0,17947
6.683516,44,12,0,19379
6.422681,44,13,0,19529
8.968014,44,14,0,18963
6.922260,40,19,0,18152
7.395878,45,15,0,19289
8.026053,45,16,0,19507
13.646958,44,18,0,19404
7.666606,41,22,0,18890
7.809720,47,17,0,20305
8.315292,49,16,0,20932
9.029886,48,18,0,20925
7.787356,40,27,0,18761
8.949817,41,27,0,19183
13.100460,42,27,0,19507
9.210776,41,29,0,19173
12.029543,44,27,0,20127
8.989402,42,30,0,19758
13.177829,44,29,0,20712
12.258365,36,38,0,18730
13.284855,35,40,0,18482
4.785820,35,41,0,18709
13.985714,38,39,0,19396
10.437993,47,31,0,21611
10.280070,48,31,0,21715
8.715015,49,31,0,22133
10.638782,53,28,0,23197
11.947669,53,29,0,23046
12.421759,50,33,0,23196
11.193723,49,35,0,22341
8.922898,51,34,0,22847
11.661672,49,37,0,22817
8.883377,52,35,0,23449
12.657552,46,42,0,22018
13.072259,42,47,0,22046
8.877542,39,51,0,21181
13.582105,37,54,0,21145
11.069710,50,42,0,22435
13.397616,50,43,0,22988
14.088614,54,40,0,23691
13.663594,53,42,0,23747
9.485639,53,43,0,23314
9.470953,50,47,0,23054
9.858712,36,62,0,20518
14.810413,25,74,0,16809
9.923559,18,67,0,11047
8.982209,20,66,0,12286
7.094995,20,67,0,11680
8.857606,20,62,0,11023
10.125543,16,64,0,9196
6.724832,25,68,0,14200
6.820168,28,70,0,16926
9.254288,27,68,0,14773
20.110085,28,68,0,15116
9.310918,33,64,0,17136
7.420264,32,66,0,16376
9.671721,28,62,0,13423
10.103321,26,65,0,13258
14.277636,25,64,0,12032
8.468527,26,64,0,12345
5.213028,27,64,0,12715
5.598414,20,71,0,10649
5.622392,18,55,0,8996
4.845074,19,55,0,9341
9.804806,27,67,0,12923
7.581382,23,68,0,11927
6.086440,21,54,0,9766
8.141415,23,63,0,11735
7.869195,27,69,0,13608
6.366121,28,70,0,14439
5.917961,26,72,0,13762
12.517155,26,68,0,13511
8.686965,24,50,0,10935
10.013451,25,50,0,11307
8.950714,27,54,0,11933
6.994956,28,54,0,12167
8.158566,32,55,0,13498
8.457107,33,55,0,13759
9.146609,34,55,0,14058
7.776608,34,54,0,13835
10.668820,35,54,0,14156
6.417726,34,54,0,14036
7.341866,34,55,0,14120
6.605860,31,59,0,13738
7.737744,30,55,0,12806
6.755639,32,54,0,13658
7.729386,35,52,0,14478
8.332688,37,51,0,14968
6.200155,34,55,0,13918
7.353630,33,49,0,13481
6.967515,34,49,0,13785
7.675748,34,50,0,13832
6.194393,35,50,0,14196
5.571898,36,50,0,14523
10.053070,36,51,0,14825
6.716571,37,51,0,14977
6.927427,38,51,0,15430
9.356977,42,56,0,16791
6.632849,41,50,0,16163
8.688146,43,49,0,16735
7.343496,45,56,0,17603
9.884163,45,49,0,17249
14.558198,47,56,0,18150
7.215343,47,49,0,17690
8.014171,47,50,0,17864
6.641868,45,48,0,17111
8.897803,47,52,0,17895
8.010848,46,49,0,17349
13.995005,44,52,0,16831
10.721835,48,49,0,17827
11.553104,48,63,0,18793
17.865309,50,49,0,18486
9.341571,42,58,0,18110
7.919276,47,54,0,18593
7.711675,43,71,0,19330
13.144430,50,53,0,18922
8.643730,49,55,0,19273
11.652686,57,48,0,20347
13.365203,56,50,0,20249
10.804881,56,51,0,19902
8.428445,56,52,0,20010
9.189082,58,51,0,20484
11.660207,58,52,0,20624
9.334158,59,52,0,20808
16.174592,60,52,0,21092
14.779401,61,52,0,21392
14.748828,61,53,0,21612
14.953459,63,52,0,21914
8.762340,64,52,0,22122
11.635228,58,59,0,21967
9.111444,63,55,0,22414
19.833292,63,55,0,22609
15.771824,67,53,0,23241
11.348454,66,55,0,23356
10.920970,60,49,0,21688
12.276537,58,43,0,20783
12.519167,67,52,0,23776
21.612569,56,44,0,20369
19.613342,58,46,0,21214
15.076010,57,45,0,20598
20.063009,58,45,0,20821
19.372233,60,44,0,21297
24.094127,59,46,0,21376
19.190102,55,51,0,21322
17.995921,44,58,0,20102
12.318361,47,61,0,20502
12.662234,57,52,0,21968
19.019641,59,51,0,22470
15.039741,63,43,0,22237
15.655935,69,43,0,24076
19.307361,63,45,0,22579
15.487410,64,45,0,22467
13.346412,63,47,0,22682
11.559586,72,44,0,24709
11.199328,66,46,0,23225
24.880456,68,45,0,23600
14.650029,62,52,0,23628
19.321191,63,52,0,23225
21.305013,55,61,0,21756
17.220248,57,60,0,23438
20.762319,55,63,0,22927
15.808380,61,58,0,23611
20.950285,60,60,0,23657
22.145683,48,72,0,19923
17.786357,44,77,0,18188
10.971071,46,76,0,19004
13.144123,45,78,0,18511
18.363209,45,79,0,18461
17.195992,47,78,0,18984
18.871919,48,78,0,19376
14.677252,51,76,0,20591
18.872841,51,77,0,20253
17.155990,47,82,0,19335
18.113935,52,78,0,20476
19.155449,50,81,0,20082
18.678201,54,78,0,20987
17.056881,52,81,0,20542
30.738922,56,78,0,22586
22.064505,58,77,0,22985
19.803804,56,80,0,22777
16.763040,57,80,0,23102
17.089644,48,89,0,20321
17.254387,53,86,0,23130
13.414232,45,94,0,19678
18.996094,51,89,0,20673
16.794918,53,88,0,20555
20.969940,56,86,0,21657
21.134312,59,85,0,22893
25.893056,53,91,0,19910
19.630578,84,150,0,35434
16.488243,81,154,0,34544
39.937131,82,154,0,34450
39.572585,84,153,0,35054
39.095840,83,155,0,34984
4.863378,78,157,0,33389
17.030625,78,146,0,33020
26.626600,79,158,0,33782
28.086900,77,142,0,32578
26.719627,78,153,0,35364
19.689044,95,146,0,39765
19.515255,90,133,0,37092
29.092488,97,148,0,40151
23.480011,95,146,0,39379
20.614579,102,144,0,42144
24.561708,106,139,0,43447
19.445634,109,137,0,43707
18.540483,102,144,0,41090
23.537630,30305,-1061608830,30305,1079332410
26.022992,13,-22492165,0,-190765267
