#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
2.724475,0.027092,0.272436,0.005609,0.005609,3.034381
2.913481,0.160511,0.722974,0.001152,0.001152,3.800069
3.634627,0.140401,1.177545,0.153296,0.153296,13.750568
3.090292,0.173486,2.522937,0.233945,0.233945,16.360622
4.019189,0.299578,3.117667,0.286492,0.286492,17.064437
3.520409,0.230541,2.922213,0.208811,0.208811,15.417205
3.273648,0.150122,3.387377,0.621886,0.621886,21.133036
4.273982,0.275999,4.198204,0.349848,0.349848,20.520650
3.745148,0.208134,4.203318,0.561039,0.561039,21.817127
3.349247,0.198728,5.765055,0.586218,0.586218,27.370175
3.633294,0.221925,4.355067,0.738643,0.738643,25.867680
3.443831,0.261652,5.021980,1.151759,1.151759,42.068647
4.635355,0.449362,5.714524,0.948025,0.948025,31.386920
4.021956,0.270610,5.849064,1.138777,1.138777,43.381213
3.915506,0.233923,6.078759,1.138060,1.138060,36.562108
4.055697,0.226437,6.847017,1.201143,1.201143,40.115984
4.166872,0.201652,6.577104,2.167233,2.167233,41.104002
4.002803,0.181389,6.625118,1.467891,1.467891,41.933842
4.450144,0.192186,7.849569,1.507138,1.507138,48.731289
3.727974,0.132869,7.675321,1.354853,1.354853,48.167845
3.818376,0.145455,7.543182,2.146275,2.146275,49.240533
3.788396,0.164171,8.306786,1.900260,1.900260,56.452561
3.884294,0.178077,8.697116,2.249615,2.249615,58.591670
5.996500,0.275835,9.890969,4.509403,4.509403,89.559670
3.850265,0.260702,10.542802,2.389883,2.389883,63.998057
4.311836,0.252914,11.056520,2.671276,2.671276,70.452894
3.896659,0.181312,11.232206,2.471035,2.471035,70.975980
4.266448,0.216731,11.507021,3.052792,3.052792,76.091462
4.447341,0.246137,10.531082,2.842711,2.842711,82.966832
4.743598,0.252984,10.776821,3.119372,3.119372,90.836663
4.507951,0.165625,10.282964,3.169883,3.169883,93.737050
4.625267,0.142132,12.635895,3.401835,3.401835,89.921098
4.115304,0.193879,11.506724,3.593163,3.593163,107.487825
5.070992,0.193059,10.689592,3.734546,3.734546,96.589814
4.257296,0.142819,9.769119,3.587517,3.587517,95.519852
4.198085,0.134232,10.026900,3.787938,3.787938,103.586960
4.759648,0.115550,10.684435,4.637682,4.637682,112.650573
4.436773,0.118552,9.148544,4.724345,4.724345,120.938568
4.970747,0.206542,11.976335,6.951695,6.951695,135.216450
4.720609,0.139217,12.346681,5.120120,5.120120,149.894292
5.778332,0.179377,10.462057,4.667635,4.667635,150.933719
