#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,9.284514,0.000000,0.000000,3.534485,1.594959,0.039723,27.685474
0.000000,0.000000,5.384095,0.000000,0.000000,1.692929,1.577649,0.033378,12.981625
0.000000,0.000000,7.628160,0.000000,0.000000,1.165116,1.252839,0.033114,12.901380
0.000000,0.000000,5.759218,0.000000,0.000000,1.288167,1.307457,0.030932,9.455781
0.000000,0.000000,8.129976,0.000000,0.000000,1.486673,1.417300,0.034277,11.436114
0.000000,0.000000,11.458878,0.000000,0.000000,1.748184,1.295655,0.033266,15.289474
0.000000,0.000000,13.777731,0.000000,0.000000,1.531661,1.145764,0.030841,18.010403
0.000000,0.000000,6.633618,0.000000,0.000000,1.123325,1.207356,0.030527,10.052399
0.000000,0.000000,6.462383,0.000000,0.000000,1.127716,1.197958,0.030507,9.754833
0.000000,0.000000,5.744091,0.000000,0.000000,1.045784,1.285539,0.472457,8.784848
0.000000,0.000000,4.970136,0.000000,0.000000,1.727125,1.563098,0.244959,8.635392
0.000000,0.000000,6.253371,0.000000,0.000000,2.031634,1.608248,0.052082,10.509971
0.000000,0.000000,8.014784,0.000000,0.000000,1.991355,1.545364,0.055730,12.957676
0.000000,0.000000,6.137304,0.000000,0.000000,1.310287,1.490998,0.271445,11.287827
0.000000,0.000000,6.347178,0.000000,0.000000,1.754853,1.715070,0.033488,10.819302
0.000000,0.000000,5.992041,0.000000,0.000000,1.193633,1.583898,0.061450,10.816552
0.000000,0.000000,6.844702,0.000000,0.000000,1.039711,1.435894,0.315231,10.909985
0.000000,0.000000,6.383304,0.000000,0.000000,1.704136,1.870487,0.040946,10.222015
0.000000,0.000000,5.875681,0.000000,0.000000,1.354771,1.669125,0.027844,10.438569
0.000000,0.000000,4.983862,0.000000,0.000000,2.317964,2.309838,0.060619,8.891731
0.000000,0.000000,5.530124,0.000000,0.000000,1.253049,1.721133,0.054080,11.307392
0.000000,0.000000,6.984457,0.000000,0.000000,1.852345,2.744934,0.060417,11.178798
0.000000,0.000000,5.125796,0.000000,0.000000,1.309585,2.027826,0.041770,11.059118
0.000000,0.000000,7.008640,0.000000,0.000000,1.268036,1.714008,0.046995,11.400061
0.000000,0.000000,7.233630,0.000000,0.000000,1.015272,1.581248,0.247741,11.518983
0.000000,0.000000,6.991711,0.000000,0.000000,1.447559,1.589171,0.030673,10.907659
0.000000,0.000000,5.715963,0.000000,0.000000,1.229804,1.865141,0.038941,9.748531
0.000000,0.000000,5.724826,0.000000,0.000000,1.105685,1.592668,0.028389,9.934531
0.000000,0.000000,5.575360,0.000000,0.000000,0.851536,1.526603,0.256918,9.107836
0.000000,0.000000,5.839202,0.000000,0.000000,1.672651,1.727005,0.035150,9.495787
0.000000,0.000000,5.479216,0.000000,0.000000,1.174035,1.686356,0.043731,9.841964
0.000000,0.000000,5.030659,0.000000,0.000000,1.205699,1.655834,0.028247,8.794432
0.000000,0.000000,5.968201,0.000000,0.000000,1.193046,1.787715,0.029248,9.738657
0.000000,0.000000,4.773710,0.000000,0.000000,0.954825,1.834902,0.033241,8.772673
0.000000,0.000000,4.922640,0.000000,0.000000,0.928589,1.639897,0.402897,8.684324
0.000000,0.000000,4.781392,0.000000,0.000000,1.554253,1.804299,0.027146,8.672751
0.000000,0.000000,5.073420,0.000000,0.000000,1.278457,2.950876,0.117317,9.377954
0.000000,0.000000,5.678327,0.000000,0.000000,1.335467,1.841431,0.029582,11.388074
0.000000,0.000000,6.072127,0.000000,0.000000,1.158927,1.848677,0.031644,10.194431
0.000000,0.000000,5.452717,0.000000,0.000000,1.413490,2.265127,0.040164,9.471914
