#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.007084,3,1,0,2403
0.001132,4,1,0,2877
0.289723,5,1,0,3637
0.608200,6,1,0,4297
0.386477,7,1,0,4661
0.591668,8,1,0,5292
0.496661,9,1,0,5862
0.798714,10,1,0,6187
1.165228,11,1,0,6572
1.056876,12,1,0,6882
1.022049,13,1,0,7314
1.038561,14,1,0,7696
1.560225,15,1,0,7698
1.378478,16,1,0,8156
1.728596,17,1,0,8603
2.215855,18,1,0,8731
2.439552,19,1,0,9136
2.081049,20,1,0,9641
2.813726,21,1,0,9740
2.654188,22,1,0,9792
3.188302,23,1,0,9901
5.571350,24,1,0,10433
6.028597,25,1,0,10582
3.043332,26,1,0,10769
3.067619,27,1,0,11196
3.168982,28,1,0,10910
2.823904,29,1,0,11464
4.010396,30,1,0,11669
4.074699,31,1,0,12085
3.590807,32,1,0,12371
6.268451,33,1,0,12947
3.656562,32,2,0,12919
4.406285,33,2,0,13025
4.886186,34,2,0,13297
4.261160,35,2,0,13665
3.627117,3,1,0,2564
11.927234,4,1,0,2654
0.001823,5,1,0,2697
0.002776,3,1,0,2483
0.584090,4,1,0,2841
0.426873,5,1,0,3116
0.760389,6,1,0,3409
0.002715,7,1,0,2681
0.001283,8,1,0,3406
0.312275,9,1,0,3872
0.328917,10,1,0,3661
0.245989,11,1,0,4262
0.297537,12,1,0,4757
0.247341,13,1,0,4476
0.386426,14,1,0,4709
0.510623,15,1,0,4737
0.537464,16,1,0,5219
1.146936,17,1,0,5300
1.149712,18,1,0,5847
1.133680,19,1,0,6022
0.848126,20,1,0,6308
1.718315,21,1,0,6614
1.159130,22,1,0,6991
0.778894,23,1,0,7481
1.378938,24,1,0,7733
1.654683,25,1,0,8108
1.506100,26,1,0,8533
1.853363,27,1,0,8931
1.623825,28,1,0,9311
1.763184,29,1,0,9490
2.171718,29,2,0,9795
1.849859,31,1,0,10424
2.014231,31,2,0,10505
2.429067,28,6,0,10029
2.032636,31,4,0,10746
3.048853,32,4,0,10459
2.797717,33,4,0,10691
5.457421,3,1,0,2588
2.592387,4,1,0,3115
2.279644,5,1,0,3838
2.899961,6,1,0,4498
4.619492,7,1,0,4823
3.007344,8,1,0,5236
0.001944,9,1,0,5433
0.001312,10,1,0,5980
0.378000,11,1,0,6430
0.775758,12,1,0,6746
0.523437,13,1,0,6691
0.938077,14,1,0,7116
0.701657,15,1,0,7368
0.986951,3,1,0,2150
1.055421,4,1,0,2478
1.053367,5,1,0,2936
1.068596,6,1,0,3251
1.427309,7,1,0,3679
1.580491,8,1,0,4009
1.458990,9,1,0,4178
1.480369,10,1,0,4578
0.001823,11,1,0,4951
0.001162,12,1,0,5031
0.292887,13,1,0,5402
0.421753,14,1,0,5847
0.443625,15,1,0,5850
0.522354,16,1,0,6240
1.184414,17,1,0,6318
0.731332,18,1,0,6590
0.673041,19,1,0,6981
0.605312,20,1,0,7425
1.240684,21,1,0,7760
0.867914,22,1,0,7914
1.887086,23,1,0,8006
2.313471,24,1,0,8471
1.061463,25,1,0,8867
1.121858,26,1,0,9129
1.231537,27,1,0,9407
2.051289,28,1,0,9635
1.709498,29,1,0,9846
1.404296,29,1,0,9814
1.951409,30,1,0,9483
1.689850,31,1,0,9586
1.754393,30,2,0,9595
1.562138,27,5,0,9184
1.843453,3,1,0,2640
2.233446,4,1,0,2467
2.932158,5,1,0,2911
2.409742,6,1,0,2604
3.110126,7,1,0,3360
2.268412,8,1,0,3886
1.988730,9,1,0,4006
5.036679,10,1,0,4406
2.652695,10,1,0,5000
2.344949,11,1,0,5384
0.002244,12,1,0,5600
0.001453,13,1,0,5973
0.381786,14,1,0,6371
0.464453,15,1,0,6615
0.448764,16,1,0,7181
0.470605,17,1,0,7558
0.582548,18,1,0,7851
0.932223,18,2,0,8022
0.631090,19,2,0,8534
0.618136,20,2,0,8612
0.890514,20,2,0,8612
1.138395,21,2,0,9051
1.174704,21,3,0,9105
1.604542,23,2,0,9747
2.272242,23,3,0,9767
1.338926,25,2,0,10181
1.757483,25,3,0,10650
3.065690,26,3,0,10954
2.428599,27,3,0,11346
4.787446,27,4,0,11739
2.921317,28,4,0,12023
3.628271,25,7,0,11842
5.169631,29,4,0,12438
2.731896,27,7,0,12595
3.971609,27,8,0,12804
3.257337,27,8,0,12627
4.116866,28,8,0,12926
3.573288,27,9,0,12917
4.066963,30,8,0,13261
3.927759,31,8,0,13771
6.835037,31,9,0,13921
7.517175,30,10,0,13770
8.137130,28,13,0,13835
5.462295,29,13,0,13966
8.292455,30,13,0,13817
7.408572,31,13,0,14065
12.568350,32,13,0,14435
5.697623,33,13,0,14556
6.314047,34,13,0,15024
5.973658,34,14,0,15153
7.153997,35,14,0,15538
10.376836,37,13,0,16127
9.799437,37,14,0,16346
6.971690,38,14,0,16501
7.630374,39,14,0,16578
5.635625,39,15,0,16885
8.803120,40,14,0,17164
8.648173,41,14,0,17254
5.389326,1072749207,1074903896,1069746271,1072749207
6.263301,512372419,-694891349,-1601713564,512372419
8.428872,1072765176,1075393247,1070855274,1072765176
9.334502,-163277477,1686101081,-1142392581,-163277477
10.795345,1073141313,1075221562,1070225755,1073141313
5.983328,-297143017,-1615732337,-533538017,-297143017
5.769810,1073301936,1075409605,1070998828,1073301936
9.789279,-437055872,853221023,-1030792151,-437055872
6.855700,1073174533,1075240160,1069820149,1073174533
9.081831,1737503250,-396099064,821884942,1737503250
3.812771,1073196951,1075261912,1069709378,1073196951
10.949769,1482416552,-1964002645,-1137169901,1482416552
