#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
2.981378,0.053161,0.360674,0.007084,0.007084,3.408829
3.090964,0.122624,0.937418,0.001132,0.001132,4.153851
3.467281,0.192788,1.178056,0.289723,0.289723,11.327471
3.953831,0.219849,1.768884,0.608200,0.608200,15.332433
3.653628,0.181977,2.099394,0.386477,0.386477,15.559465
3.364286,0.086976,3.496780,0.591668,0.591668,17.974985
4.834842,0.206111,3.214440,0.496661,0.496661,20.133451
4.320227,0.140366,6.218194,0.798714,0.798714,28.913752
4.300459,0.170644,5.801845,1.165228,1.165228,28.818181
4.273419,0.149455,6.997782,1.056876,1.056876,31.132020
4.160933,0.095602,6.268572,1.022049,1.022049,30.096253
4.764544,0.131751,6.489384,1.038561,1.038561,30.570849
4.319546,0.100902,5.896133,1.560225,1.560225,32.538701
4.329065,0.126681,6.490876,1.378478,1.378478,32.889581
5.119352,0.238274,7.494270,1.728596,1.728596,39.078485
5.044378,0.244236,9.646584,2.215855,2.215855,40.608152
5.212677,0.117785,10.253080,2.439552,2.439552,43.585757
5.182653,0.237603,10.382709,2.081049,2.081049,46.333173
5.761498,0.170354,9.512231,2.813726,2.813726,49.588606
5.816162,0.295143,10.008317,2.654188,2.654188,50.547276
5.288626,0.492682,10.122491,3.188302,3.188302,60.263914
4.967879,0.335109,11.168368,5.571350,5.571350,62.470530
4.510342,0.212355,10.747879,6.028597,6.028597,65.576679
4.656918,0.151048,9.478910,3.043332,3.043332,62.072244
4.911343,0.292517,10.294005,3.067619,3.067619,74.092068
4.518053,0.223065,11.151671,3.168982,3.168982,64.338039
5.056931,0.198980,9.649748,2.823904,2.823904,59.758335
5.212358,1.144412,11.403992,4.010396,4.010396,74.176753
4.794300,0.097466,10.862898,4.074699,4.074699,67.683114
4.845109,0.189811,12.669778,3.590807,3.590807,70.528286
5.349116,0.334496,12.038194,6.268451,6.268451,77.282757
6.497305,0.424416,13.378720,3.656562,3.656562,72.714723
5.794881,0.192626,14.580582,4.406285,4.406285,75.235228
5.163453,0.166516,11.185788,4.886186,4.886186,72.589412
5.139568,0.225358,12.192690,4.261160,4.261160,75.636868
5.703206,0.130769,10.434312,3.627117,3.627117,71.872516
6.122946,0.113184,11.658949,11.927234,11.927234,86.274552
3.194916,0.492916,0.438845,0.001823,0.001823,4.130093
6.018490,0.576786,4.623378,0.002776,0.002776,11.226870
4.914173,0.674408,3.159194,0.584090,0.584090,20.838581
5.377860,0.542615,4.780519,0.426873,0.426873,22.189195
5.781898,0.462601,3.714849,0.760389,0.760389,23.689581
7.472896,0.054484,0.382098,0.002715,0.002715,7.914187
0.771701,0.232974,1.038559,0.001283,0.001283,2.045748
6.520204,0.491286,2.014509,0.312275,0.312275,18.432674
5.317583,0.434548,2.041059,0.328917,0.328917,17.940787
4.867124,0.359165,2.803572,0.245989,0.245989,20.861053
5.274552,0.485174,3.248571,0.297537,0.297537,22.138017
5.092103,0.665949,3.067977,0.247341,0.247341,17.882357
5.246819,0.322564,4.164046,0.386426,0.386426,22.921009
4.704334,0.396877,4.007546,0.510623,0.510623,25.367229
4.440151,0.613840,4.832539,0.537464,0.537464,24.244673
5.129124,0.208618,4.603252,1.146936,1.146936,26.810122
4.788935,0.308238,5.331410,1.149712,1.149712,31.227991
5.222332,0.535932,5.489110,1.133680,1.133680,31.817584
4.785330,0.267259,5.664165,0.848126,0.848126,30.222097
4.673516,0.399101,5.815584,1.718315,1.718315,33.614993
5.266286,0.395654,7.112184,1.159130,1.159130,33.387659
5.972393,0.532594,7.167560,0.778894,0.778894,36.580495
5.499246,0.341330,10.289523,1.378938,1.378938,51.956256
6.306288,0.418006,7.682742,1.654683,1.654683,40.964759
5.411402,0.293780,8.563550,1.506100,1.506100,35.155057
6.467166,0.282609,8.339203,1.853363,1.853363,44.505201
4.875573,0.293650,9.725706,1.623825,1.623825,45.603064
5.410963,0.221510,10.461191,1.763184,1.763184,46.727445
6.379064,0.342470,11.415351,2.171718,2.171718,58.418128
5.334729,0.205660,8.736078,1.849859,1.849859,53.123477
4.687301,0.224556,9.180562,2.014231,2.014231,55.886197
5.648233,0.271976,9.717021,2.429067,2.429067,68.511527
6.307237,0.335997,10.763355,2.032636,2.032636,62.745264
5.207467,0.166075,11.695764,3.048853,3.048853,54.475286
4.528199,0.214467,9.791151,2.797717,2.797717,66.863452
4.647375,0.271675,10.028652,5.457421,5.457421,85.004240
5.061701,0.391984,11.254737,2.592387,2.592387,78.955327
0.991992,0.363449,10.862545,2.279644,2.279644,61.265530
5.797908,0.332180,11.054609,2.899961,2.899961,76.378156
5.909549,0.579129,11.233708,4.619492,4.619492,82.628762
5.182921,0.335406,11.230371,3.007344,3.007344,73.516156
4.517074,0.430750,0.461630,0.001944,0.001944,5.413241
1.304315,0.541282,1.482183,0.001312,0.001312,3.330906
3.912022,0.500213,2.179331,0.378000,0.378000,14.467500
3.709830,0.339737,1.723964,0.775758,0.775758,16.327476
3.472496,0.147170,2.166247,0.523437,0.523437,18.724682
4.176827,0.274072,3.745446,0.938077,0.938077,23.748372
4.344154,0.208497,3.433040,0.701657,0.701657,23.383746
3.764862,0.184962,3.349231,0.986951,0.986951,25.594068
4.110872,0.199319,5.422491,1.055421,1.055421,28.582933
3.962178,0.148693,4.432955,1.053367,1.053367,28.582773
4.082047,0.311793,6.299682,1.068596,1.068596,31.858554
4.109359,0.205852,5.644754,1.427309,1.427309,37.137414
4.193088,0.346019,6.362082,1.580491,1.580491,36.355053
4.003177,0.157500,5.715699,1.458990,1.458990,36.682197
1.540795,0.144295,5.798679,1.480369,1.480369,39.375109
3.176695,0.165104,0.273430,0.001823,0.001823,3.618365
3.425238,0.284180,0.893891,0.001162,0.001162,4.606355
3.447570,0.405862,1.526375,0.292887,0.292887,13.182505
3.392145,0.243042,1.380417,0.421753,0.421753,13.388887
3.296333,0.152440,1.741995,0.443625,0.443625,13.859593
3.795833,0.180955,2.231907,0.522354,0.522354,17.062479
3.317212,0.135188,2.652046,1.184414,1.184414,19.921600
3.914119,0.171867,3.225828,0.731332,0.731332,22.177483
3.745998,0.237652,3.565355,0.673041,0.673041,21.667792
3.760791,0.152991,3.931812,0.605312,0.605312,21.166273
7.387928,0.249715,6.281420,1.240684,1.240684,33.568393
3.891685,0.316824,4.969309,0.867914,0.867914,27.803958
1.747964,0.261167,6.633210,1.887086,1.887086,30.443582
1.784510,0.113386,7.301834,2.313471,2.313471,31.659620
1.663580,0.200802,7.311432,1.061463,1.061463,32.162727
1.382264,0.094029,6.950114,1.121858,1.121858,30.012209
4.861764,0.223817,7.201262,1.231537,1.231537,37.518915
4.905968,0.277048,9.662613,2.051289,2.051289,43.018477
4.206076,0.173861,9.159304,1.709498,1.709498,38.565151
5.661008,0.268081,9.522606,1.404296,1.404296,45.710688
4.531956,0.244065,10.485873,1.951409,1.951409,45.664029
2.440583,0.265045,9.343816,1.689850,1.689850,49.644527
1.650175,0.105060,8.839135,1.754393,1.754393,38.779312
4.924024,0.129166,9.036311,1.562138,1.562138,45.339925
5.332340,0.298920,11.695818,1.843453,1.843453,59.569293
4.398340,0.163933,10.878270,2.233446,2.233446,55.629816
4.977906,0.229007,12.186121,2.932158,2.932158,60.756827
2.485055,0.156468,12.189229,2.409742,2.409742,57.539488
2.311786,0.080473,13.203798,3.110126,3.110126,70.205065
3.201370,0.166838,12.672509,2.268412,2.268412,63.632971
2.811107,0.133765,11.914534,1.988730,1.988730,59.574096
2.817783,0.113376,21.532471,5.036679,5.036679,100.391659
2.905390,0.130279,12.008995,2.652695,2.652695,68.070725
6.268045,0.250337,12.290402,2.344949,2.344949,58.894447
3.874746,0.313127,0.392558,0.002244,0.002244,4.584569
3.713539,0.299441,1.447209,0.001453,0.001453,5.470579
5.069350,0.629087,2.245129,0.381786,0.381786,20.855921
3.500656,0.512214,2.110698,0.464453,0.464453,16.013766
3.478655,0.346939,2.264066,0.448764,0.448764,18.608347
4.996530,0.747281,3.179087,0.470605,0.470605,17.957058
4.678745,0.237893,5.501622,0.582548,0.582548,25.636762
4.391101,0.386906,4.822400,0.932223,0.932223,27.701971
3.985560,0.294540,3.924924,0.631090,0.631090,21.503404
4.697494,0.334566,4.482545,0.618136,0.618136,23.768723
4.100068,0.181245,5.422683,0.890514,0.890514,25.718702
5.014908,0.279531,6.048843,1.138395,1.138395,29.233696
