#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,16.042705,0.000000,0.000000,4.316040,2.115384,0.043042,41.506710
0.000000,0.000000,13.954229,0.000000,0.000000,2.039560,1.831174,0.041459,29.413985
0.000000,0.000000,13.540425,0.000000,0.000000,1.922158,1.603362,0.044905,26.501769
0.000000,0.000000,13.127041,0.000000,0.000000,1.881661,1.837778,0.033965,25.306575
0.000000,0.000000,13.564562,0.000000,0.000000,2.040762,2.347305,0.061427,25.523075
0.000000,0.000000,14.740112,0.000000,0.000000,1.960190,1.861081,0.044344,28.528732
0.000000,0.000000,14.207882,0.000000,0.000000,2.107609,1.772775,0.042500,27.379016
0.000000,0.000000,14.630364,0.000000,0.000000,2.063907,2.320273,0.038884,28.385628
0.000000,0.000000,13.340551,0.000000,0.000000,2.161982,1.923861,0.042601,26.888335
0.000000,0.000000,13.913023,0.000000,0.000000,2.337897,1.661914,0.046067,26.594918
0.000000,0.000000,13.789629,0.000000,0.000000,1.719549,1.881919,0.049805,26.940304
0.000000,0.000000,13.423991,0.000000,0.000000,1.615199,1.580353,0.036450,25.611511
0.000000,0.000000,13.744178,0.000000,0.000000,1.471505,1.979694,0.064884,26.498258
0.000000,0.000000,12.890542,0.000000,0.000000,1.935742,1.834578,0.041589,24.849486
0.000000,0.000000,13.396406,0.000000,0.000000,1.660887,1.701395,0.037051,25.857519
0.000000,0.000000,12.926520,0.000000,0.000000,1.541870,1.414768,0.328176,25.242346
0.000000,0.000000,13.851084,0.000000,0.000000,2.264228,2.206287,0.228075,26.045978
0.000000,0.000000,13.581109,0.000000,0.000000,2.905742,2.089475,0.074152,27.232571
0.000000,0.000000,13.017483,0.000000,0.000000,2.150290,2.176231,0.071556,26.506947
0.000000,0.000000,13.059905,0.000000,0.000000,2.024431,2.488656,0.062028,26.485747
0.000000,0.000000,16.009411,0.000000,0.000000,2.045140,2.141794,0.041088,31.638476
