#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.005144,3,1,0,2416
0.001381,4,1,0,3010
0.106903,5,1,0,3547
0.178037,6,1,0,3862
0.438286,7,1,0,4392
0.871718,8,1,0,4861
0.644620,9,1,0,5370
0.761671,10,1,0,5783
1.044810,11,1,0,6180
1.091477,12,1,0,6642
0.834786,13,1,0,7104
1.112109,14,1,0,7762
1.136113,15,1,0,7947
1.377808,16,1,0,8550
1.788133,17,1,0,8704
1.863717,18,1,0,9220
2.157543,19,1,0,9537
2.433626,20,1,0,10060
2.699590,21,1,0,10714
2.175993,22,1,0,10803
2.627351,23,1,0,11280
2.926255,24,1,0,11794
3.023795,25,1,0,11916
3.452742,26,1,0,12314
3.801102,27,1,0,12675
3.883449,28,1,0,13012
3.998818,29,1,0,13323
4.114849,29,2,0,13804
3.963241,30,2,0,14270
6.479234,32,1,0,14839
4.435621,33,1,0,15156
4.494341,33,1,0,15365
7.149413,28,7,0,14709
8.867167,27,9,0,15935
4.785320,19,18,0,15149
8.266091,13,25,0,13296
6.052028,9,30,0,11001
5.941174,7,33,0,8766
3.287562,5,28,0,3790
2.388808,6,28,0,4206
1.629101,9,34,0,9169
1.916223,11,33,0,10527
5.239706,13,32,0,11770
3.328153,18,28,0,15346
4.599792,16,31,0,13521
7.576599,16,32,0,12840
6.155061,19,30,0,11980
5.001232,20,30,0,14792
4.670414,22,29,0,13211
6.566586,24,28,0,14246
10.339478,35,18,0,21057
9.065652,43,11,0,22367
6.963140,44,11,0,22316
8.204928,41,15,0,22715
11.034165,31,26,0,20531
11.087135,34,24,0,22218
10.535388,21,38,0,12034
8.811030,22,38,0,12384
8.199369,23,38,0,12883
4.865238,24,38,0,13270
7.820509,24,39,0,13704
3.810579,26,38,0,14095
6.357894,23,42,0,13794
6.838519,24,42,0,14033
4.347208,0,-348222462,239501342,3168
4.274846,0,-1058661579,-1058244936,0
