#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
2.889129,0.032088,0.345320,0.005144,0.005144,3.276528
4.168725,0.280519,1.316179,0.001381,0.001381,5.768871
3.207029,0.135043,1.959528,0.106903,0.106903,13.428938
3.599231,0.185598,1.655491,0.178037,0.178037,13.678079
3.730310,0.321136,2.714275,0.438286,0.438286,17.357059
3.538419,0.299197,3.870504,0.871718,0.871718,24.498104
3.990890,0.240480,4.534545,0.644620,0.644620,25.465771
3.687855,0.251547,3.492249,0.761671,0.761671,25.102847
5.075648,0.297622,4.509595,1.044810,1.044810,28.559393
3.378269,0.348352,4.586237,1.091477,1.091477,31.800266
3.734872,0.220990,4.805303,0.834786,0.834786,33.408492
3.328519,0.178207,5.036999,1.112109,1.112109,36.333635
3.622374,0.190747,7.121149,1.136113,1.136113,41.988720
3.726430,0.326859,7.199304,1.377808,1.377808,39.949321
3.807949,0.294621,6.096876,1.788133,1.788133,45.724841
4.385299,0.135631,6.371652,1.863717,1.863717,48.295343
3.927906,0.278886,6.640928,2.157543,2.157543,53.885918
4.301984,0.171706,7.449331,2.433626,2.433626,50.623946
4.393050,0.220171,7.322664,2.699590,2.699590,55.355057
3.829679,0.138628,7.927748,2.175993,2.175993,55.540378
3.884784,0.100491,9.890848,2.627351,2.627351,67.679675
4.615419,0.284383,9.261308,2.926255,2.926255,66.044031
4.205865,0.124962,11.309176,3.023795,3.023795,70.423847
4.076227,0.138467,11.151030,3.452742,3.452742,71.587073
5.305378,0.513736,10.130846,3.801102,3.801102,73.043705
5.130157,0.339773,10.017649,3.883449,3.883449,86.799990
4.706081,0.256571,9.032963,3.998818,3.998818,90.098208
8.237524,0.397528,16.931451,4.114849,4.114849,110.240805
4.534265,0.392157,8.633362,3.963241,3.963241,97.637181
3.884793,0.208277,8.735279,6.479234,6.479234,103.621927
4.274362,0.239257,11.518124,4.435621,4.435621,104.688800
4.072021,0.170757,10.520114,4.494341,4.494341,103.004722
4.165455,0.293108,11.422277,7.149413,7.149413,96.499047
4.311974,0.269377,8.627187,8.867167,8.867167,107.401749
3.677831,0.280116,7.403790,4.785320,4.785320,91.707234
4.006542,0.300770,6.918356,8.266091,8.266091,102.651925
3.417617,0.293292,7.198239,6.052028,6.052028,85.184358
3.119163,0.279721,6.624583,5.941174,5.941174,70.785325
3.356288,0.369773,6.143727,3.287562,3.287562,54.647066
3.033079,0.278778,5.651834,2.388808,2.388808,38.082904
3.164507,0.263426,5.798033,1.629101,1.629101,21.723504
4.190176,0.331081,5.368127,1.916223,1.916223,24.216285
3.499852,0.223831,9.397255,5.239706,5.239706,67.443857
4.734561,0.330369,7.366925,3.328153,3.328153,52.240865
5.185549,0.388662,8.453876,4.599792,4.599792,68.820708
3.876442,0.253024,11.776721,7.576599,7.576599,101.928044
4.764751,0.301302,7.857724,6.155061,6.155061,85.647422
3.793076,0.263382,8.183000,5.001232,5.001232,68.877120
4.281912,0.231271,8.269876,4.670414,4.670414,69.733236
4.679259,0.296569,9.315645,6.566586,6.566586,98.427811
6.021964,0.281913,9.039565,10.339478,10.339478,95.185424
4.412097,0.369428,12.591211,9.065652,9.065652,99.627996
4.369190,0.202025,8.558337,6.963140,6.963140,149.989439
4.760918,0.199372,10.627941,8.204928,8.204928,165.045609
4.267996,0.234045,8.539249,11.034165,11.034165,175.477549
4.726266,0.197632,8.938667,11.087135,11.087135,168.375160
5.602951,0.221814,9.005466,10.535388,10.535388,131.868065
6.043416,0.247129,10.887628,8.811030,8.811030,153.356909
4.315348,0.220939,9.278509,8.199369,8.199369,78.221258
5.245956,0.470532,9.828182,4.865238,4.865238,77.685761
4.172303,0.266557,8.274279,7.820509,7.820509,83.662333
3.581027,0.232870,7.161375,3.810579,3.810579,82.759577
3.926170,0.234729,6.807156,6.357894,6.357894,91.417131
3.897625,0.242943,7.696671,6.838519,6.838519,80.585371
4.116142,0.184004,7.659769,4.347208,4.347208,72.928912
3.770457,0.173367,6.976038,4.274846,4.274846,72.109297
