#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,6.276077,0.000000,0.000000,5.444252,2.035697,0.037939,28.623668
0.000000,0.000000,5.606246,0.000000,0.000000,2.515858,2.666180,0.036926,15.731025
0.000000,0.000000,7.316579,0.000000,0.000000,3.011123,2.585721,0.035523,14.650077
0.000000,0.000000,9.473261,0.000000,0.000000,1.957075,1.956464,0.034557,16.633707
0.000000,0.000000,5.854791,0.000000,0.000000,2.025715,1.630746,0.035888,10.516973
0.000000,0.000000,6.570041,0.000000,0.000000,2.759195,2.129946,0.037802,11.030595
0.000000,0.000000,5.419159,0.000000,0.000000,1.959077,1.577989,0.036776,11.195130
0.000000,0.000000,5.661657,0.000000,0.000000,1.981422,2.000904,0.038275,10.017732
0.000000,0.000000,4.817691,0.000000,0.000000,2.136753,1.809181,0.034398,9.680129
0.000000,0.000000,4.312769,0.000000,0.000000,1.953385,1.660360,0.034616,9.130370
0.000000,0.000000,4.366405,0.000000,0.000000,1.736093,1.685536,0.034310,8.692983
0.000000,0.000000,4.394853,0.000000,0.000000,1.695637,1.814815,0.064990,8.553849
0.000000,0.000000,5.113922,0.000000,0.000000,1.735679,2.065943,0.040091,9.351204
0.000000,0.000000,4.176256,0.000000,0.000000,1.557312,2.934690,0.036096,9.419262
0.000000,0.000000,4.008487,0.000000,0.000000,2.616855,2.831376,0.036707,9.668478
0.000000,0.000000,4.583559,0.000000,0.000000,2.130410,1.821759,0.036440,10.872698
0.000000,0.000000,5.690373,0.000000,0.000000,1.886798,1.775581,0.035533,10.598169
0.000000,0.000000,7.218624,0.000000,0.000000,2.198703,2.322054,0.035928,11.652907
0.000000,0.000000,5.194213,0.000000,0.000000,1.605917,1.721622,0.035789,10.685700
0.000000,0.000000,8.653626,0.000000,0.000000,1.694048,1.571044,0.034478,13.001411
0.000000,0.000000,7.727778,0.000000,0.000000,1.688691,1.501507,0.036056,11.936511
0.000000,0.000000,5.291361,0.000000,0.000000,1.649381,1.626307,0.035336,9.200450
0.000000,0.000000,4.385118,0.000000,0.000000,1.571320,1.661879,0.035997,8.645208
0.000000,0.000000,4.251982,0.000000,0.000000,1.568390,1.611313,0.034912,8.244695
0.000000,0.000000,4.893877,0.000000,0.000000,1.704851,1.689165,0.035296,8.807869
0.000000,0.000000,4.568682,0.000000,0.000000,1.557854,1.684292,0.035267,8.740364
0.000000,0.000000,4.309257,0.000000,0.000000,2.114498,1.786532,0.036867,8.263379
0.000000,0.000000,4.725089,0.000000,0.000000,1.706959,1.801507,0.034879,9.495558
0.000000,0.000000,5.281938,0.000000,0.000000,1.512110,1.695970,0.035720,9.927592
0.000000,0.000000,4.332478,0.000000,0.000000,1.509954,1.543655,0.035067,8.441419
